section,section_heading,commodity,ppm,expiration_note,row_type
180.1,§ 180.1 Definitions and interpretations.,Alfalfa,"Medicago sativa L. Subsp. sativa, (alfalfa, lucerne); Onobrychis viciifolia Scop. (sainfoin, holy clover, esparcet); and Lotus corniculatus L. (trefoil); and varieties and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Banana,"Banana, plantain.",,definition
180.1,§ 180.1 Definitions and interpretations.,Basil (Ocimum spp.),"Basil (Ocimum basilicum L.); Basil, American (Ocimum americanum L.); Basil, Greek (Ocimum minimum L.); Basil, holy (Ocimum tenuiflorum L.); Basil, lemon (Ocimum x citriodorum Vis.); Basil, Russian (Ocimum gratissimum L.)",,definition
180.1,§ 180.1 Definitions and interpretations.,Bean,"Cicer arietinum (chickpea, garbanzo bean); Lupinus spp. (including, but not limited to, Andean lupin, blue lupin, grain lupin, sweet lupin, white sweet lupin, white lupin, and yellow lupin). Phaseolus spp. (including, but not limited to, black bean, cranberry bean, dry bean, field bean, French bean, garden bean, great northern bean, green bean, kidney bean, lima bean, navy bean, pink bean, pinto bean, red bean, scarlet runner bean, snap bean, tepary bean, yellow bean, and wax bean); Broad bean (fava bean, faba bean); Goa bean (asparagus pea and winged bean); Vigna spp. (including adzuki bean, asparagus bean, blackeyed pea, catjang bean, Chinese longbean, cowpea, crowder pea, moth bean, mung bean, rice bean, southern pea, urd bean, and yardlong bean); Guar bean; Horse gram; Jackbean; Lablab bean (hyacinth bean); Morama bean; African yam bean; American potato bean; Vegetable soybean (edamame); Sword bean; Velvetbean; Winged pea; cultivars, varieties and/or hybrids of these commodities. [Note: A variety of pesticide tolerances have been previously established for pea and/or bean. Chickpea/garbanzo bean is also listed in the definition for “pea”. For garbanzo bean/chickpea only, the highest established pea or bean tolerance will apply to pesticide residues found in this commodity].",,definition
180.1,§ 180.1 Definitions and interpretations.,"Bean, dry, seed",All beans in the entry “Bean” in dry seed form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Bean, edible podded",All beans in the entry “Bean” in edible podded form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Bean, succulent",All beans in the entry “Bean” in edible podded or succulent shelled form.,,definition
180.1,§ 180.1 Definitions and interpretations.,"Bean, succulent shelled",All beans in the entry “Bean” in succulent shelled form.,,definition
180.1,§ 180.1 Definitions and interpretations.,Blackberry,"Rubus eubatus (including bingleberry, black satin berry, boysenberry Cherokee blackberry, Chesterberry, Cheyenne blackberry, coryberry, darrowberry, dewberry, Dirksen thornless berry, Himalayaberry, hullberry, Lavacaberry, lowberry, Lucretiaberry, mammoth blackberry, marionberry, nectarberry, olallieberry, Oregon evergreen berry, phenomenalberry, rangerberry, ravenberry, rossberry, Shawnee blackberry, and varieties and/or hybrids of these).",,definition
180.1,§ 180.1 Definitions and interpretations.,Broccoli,"Broccoli, Chinese broccoli (gai lon, white flowering broccoli).",,definition
180.1,§ 180.1 Definitions and interpretations.,Cabbage,"Cabbage, Chinese cabbage (tight-heading varieties only).",,definition
180.1,§ 180.1 Definitions and interpretations.,Caneberry,"Rubus spp. (including blackberry);Rubus caesius (youngberry);Rubus loganbaccus (loganberry);Rubus idaeus (red and black raspberry); cultivars, varieties, and/or hybrids of these.",,definition
180.1,§ 180.1 Definitions and interpretations.,Celery,"Celery, Florence fennel (sweet anise, sweet fennel, finochio) (fresh leaves and stalks only).",,definition
180.1,§ 180.1 Definitions and interpretations.,Cherry,"Cherry, sweet, and cherry, tart.",,definition
180.1,§ 180.1 Definitions and interpretations.,Endive,"Endive, escarole.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Fern, edible, fiddlehead","Fern, edible, fiddlehead including: Black lady fern, Deparia japonica (Thunb.) M. Kato; Bracken fern, Pteridium aquilinum (L.) Kuhn; Broad buckler fern, Dryopteris dilatata (Hoffm.) A. Gray; Cinnamon fern, Osmundastrum cinnamomeum (L.) C. Presl; Lady fern, Athyrium filix-femina (L.) Roth ex Mert.; Leather fern, Acrostichum aureum L.; Mother fern, Diplazium proliferum (Lam.) Thouars; Ostrich fern, Matteuccia struthiopteris (L.) Tod.; Vegetable fern, Diplazium esculentum (Retz.) Sw.; Zenmai fern, Osmuda japonica Thunb.",,definition
180.1,§ 180.1 Definitions and interpretations.,"Flowers, edible, multiple species","Acacia blossoms (Acacia senegal (L.) Willd.); Alyssum, sweet (Lobularia maritima (L.) Desv.); Anchusa, garden (Anchusa azurea Mill.); Angelica (Angelica archangelica L.); Apricot, Japanese (Prunus mume Siebold & Zucc.); Arnica (Arnica montana L.); Arugula (Eruca sativa Mill.); Balm (Melissa officinalis L.); Banana (Musa spp.); Basil (Ocimum spp.); Begonia, tuberous (Begonia x tuberhybrida Voss); Bilimbi (Averrhoa bilimbi L.); Bisnaga (Ammi visnaga (L.) Lam.); Blue thistle (Centaurea benedicta (L.) L.); Borage (Borago officinalis L.); Broccoli (Brassica oleracea L. var. italica Plenck); Bugelweed (Lycopus spp.); Burnet (Sanguisorba spp.); Calendula (Calendula officinalis L.); Canadian goldenrod (Solidago canadensis L.); Caper (Capparis spinosa L.); Carambola (Averrhoa carambola L.); Carnation (Dianthus caryophyllus L.); Celandine, greater (Chelidonium majus L.); Chamomile (Chamaemelum spp. and Matricaria spp.); Chaparral (Larrea tridentata (DC.) Coville); Chervil (Anthriscus cerefolium (L.) Hoffm.); Chicory (Cichorium intybus L.); Chive, Chinese (Allium tuberosum Rottler ex Spreng.); Chrysanthemum (Chrysanthemum spp.); Clary (Salvia sclarea L.); Cleavers (Galium aparine L); Clove (Syzygium aromaticum (L.) Merr. & L. M. Perry); Clover, red (Trifolium pratense L.); Coriander/Cilantro (Coriandrum sativum L.); Cornflower (Centaurea cyanus L.); Costmary (Tanacetum balsamita L. subsp. balsamita); Daisy, English (Bellis perennis L.); Dames rocket (Hesperis matronalis L.); Damiana (Turnera diffusa Willd); Dandelion (Taraxacum officinale F. H. Wigg. aggr.); Daylily (Hemerocallis fulva (L.) L.); Dill (Anethum graveolens L.); Elder (Sambucus nigra L.); Eyebright (Euphrasia spp.); Feijoa (Acca sellowiana (O. Berg) Burret); Fennel (common) (Foeniculum vulgare Mill. subsp. vulgare var. vulgare); Frangipani (Plumeria rubra L.); Fuchsia (Fuchsia spp.); Gardenia (Gardenia jasminoides J. Ellis); Geranium (Pelargonium spp.); Geranium, lemon (Pelargonium crispum (P.J. Bergius) L'Her.); Geranium, rose (Pelargonium graveolens L'Hér.); Ginger, white (Hedychium coronarium J. Koenig); Gladiolus (Gladiolus spp.); Greater periwinkle (Vinca major L.); Hawthorn (Crataegus monogyna Jacq. Crataegus spp.); Hibiscus (Hibiscus spp.); Hibiscus, Chinese (Hibiscus rosa-sinensis L.); Hollyhock (Alcea rosea L.); Honeysuckle, Japanese (Lonicera japonica Thunb.); Horehound (Marrubium vulgare L.); Hyssop (Hyssopus officinalis L.); Hyssop, anise (Agastache foeniculum (Pursh) Kuntze); Impatiens (Impatiens walleriana Hook. f.); Jasmine, Arabian (Jasminum sambac (L.) Aiton); Kewra (Pandanus fascicularis Lam.); Lavender (Lavandula angustifolia Mill.); Lemon (Citrus limon (L.) Burm. f.); Lilac (Syringa vulgaris L.); Lily (Lilium spp.); Lily, mariposa (Calochortus gunnisonii S. Watson); Lily, sego (Calochortus nuttallii Torr. & A. Gray); Lotus (Nelumbo nucifera Gaertn.); Lovage (Levisticum officinale W. D. J. Koch); Mallow, high (Malva sylvestris L.); Marigold (Tagetes spp.); Marjoram (Origanum spp.); Meadowsweet (Filipendula ulmaria (L.) Maxim.); Mint (Mentha spp.); Mioga (Zingiber mioga (Thunb.) Roscoe); Monarda (Monarda spp.); Motherwort (Leonurus cardiaca L.); Mullein (Verbascum thapsus L., Verbascum spp.); Mustard (Brassica spp. and Sinapis spp.); Nasturtium (Tropaeolum spp.); Okra (Abelmoschus esculentus (L.) Moench); Orange, bitter (Citrus aurantium L.); Passion flower (Passiflora spp.); Pea blossoms (Pisum sativum L. subsp. sativum var. sativum); Peach (Prunus persica (L.) Batsch var. persica); Peony, common (Paeonia officinalis L.); Perilla (Perilla frutescens (L.) Britton); Petunia (Petunia x hybrida hort. ex E. Vilm.); Primrose (Primula vulgaris Huds.); Puget sound gumweed (Grindelia integrifolia DC.); Purslane, winter (Claytonia perfoliata Donn ex Willd.); Radish (Raphanus sativus L.); Redbud (Cercis canadensis L.); Rose (Rosa spp.); Rosemary (Rosmarinus officinalis L.); Rose-of-Sharon ((Hibiscus syriacus L.); Runner bean, scarlet (Phaseolus coccineus L.); Safflower (Carthamus tinctorius L.); Sage (Salvia officinalis L.); Sage, pineapple (Salvia elegans); Savory, summer (Satureja hortensis L.); Saxifrage, burnet (Pimpinella saxifraga L.); Scotch broom (Cytisus scoparius (L.) Link ); Shepherd's purse (Capsella bursa-pastoris (L.) Medik.); Snapdragon (Antirrhinum majus L.); Sorrel, garden (Rumex acetosa L.); Sorrel, wood (Oxalis acetosella L.); Spilanthes (Blainvillea acmella (L.) Philipson); Squash (Cucurbita spp.); Stock, gillyflower (Matthiola incana (L.) W. T. Aiton); Stoneroot (Collinsonia canadensis L.); Sunflower (Helianthus annuus L.); Sweet william (Dianthus barbatus L.); Sweet wormwood (Artemisia annua L.); Thyme (Thymus vulgaris L.); Tuberose (Polianthes tuberosa L.); Tulip (Tulipa spp.); Verbena, blue (Verbena hastate L.); Verbena, lemon (Aloysia citrodora Palau); Violet (Viola spp.); Wormwood (Artemisia absinthium L); Yarrow (Achillea millefolium L.); Yucca (Yucca spp.); and other edible flowers.",,definition
