COMMOD,Diazinon,Malathion,Piperonyl butoxide,Carbaryl,Heptachlor epoxide,Dicloran,Trifluralin,Thiabendazole,Methomyl,Chlorpyrifos,Dimethoate,Carbofuran,Pendimethalin,Dichlorvos (DDVP),Pronamide (Propyzamide),Cypermethrin,Metalaxyl/Mefenoxam,Deltamethrin  (includes parent Tralomethrin),Myclobutanil,Cyfluthrin,Fenpropathrin,Bifenthrin,Imidacloprid,Fenbuconazole,Tebuconazole,Triflumizole,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",Clothianidin,Methoxyfenozide,Dinotefuran,Flonicamid,Mandipropamid,Spirotetramat,Fluopicolide,Fluopyram,Hexythiazox,Chlorfenapyr,Pyrimethanil,Fludioxonil,Pyriproxyfen,Thiamethoxam,Azoxystrobin,Buprofezin,Quinoxyfen,Difenoconazole,Pyraclostrobin,Fenamidone,Boscalid,Dimethomorph,Trifloxystrobin,Acetamiprid
Almonds,0.0,0.0,0.0557,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0016,0.0,0.1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apples,0.0663,0.0,0.0,0.0163,0.0,0.0,0.0,0.4027,0.001,0.0,0.0,0.0,0.0163,0.0,0.0,0.0133,0.0,0.0,0.0031,0.0275,0.0082,0.0133,0.0245,0.0082,0.001,0.0,0.0591,0.002,0.0479,0.0,0.001,0.0,0.001,0.0,0.0071,0.0041,0.0,0.7319,0.4475,0.001,0.001,0.0,0.002,0.0,0.0408,0.3313,0.0,0.0479,0.0,0.0449,0.3496
Asparagus,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0035,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0857,0.0,0.0,0.0,0.0012,0.0,0.0131,0.0,0.0,0.0
"Blueberries, Fresh",0.0,0.1015,0.0,0.0008,0.0,0.0,0.0,0.0017,0.0166,0.0025,0.0017,0.0,0.0,0.0,0.0,0.2246,0.0549,0.0,0.0042,0.0,0.0316,0.1905,0.1348,0.02,0.0008,0.0,0.0033,0.0067,0.0441,0.0,0.0,0.0,0.0433,0.0,0.0732,0.0017,0.0008,0.0507,0.2413,0.0,0.0275,0.3261,0.0229,0.0,0.0749,0.2246,0.0,0.4559,0.0,0.0017,0.3552
"Blackberries, Fresh",0.0147,0.2429,0.0226,0.0056,0.0,0.0,0.0,0.0035,0.0,0.0068,0.0068,0.0,0.0,0.0,0.0,0.4802,0.1718,0.0,0.0633,0.0,0.0554,0.304,0.1503,0.0,0.0034,0.0,0.0237,0.0034,0.0102,0.0011,0.0023,0.0,0.0034,0.0,0.1017,0.0701,0.0,0.0825,0.1492,0.0181,0.0418,0.235,0.0,0.0,0.0079,0.2994,0.0,0.3412,0.0045,0.0113,0.2825
Broccoli,0.0008,0.003,0.0015,0.0038,0.0,0.0015,0.0053,0.0,0.006,0.012,0.0045,0.0,0.0323,0.0,0.039,0.0188,0.0113,0.0,0.0,0.0038,0.0,0.0323,0.1778,0.0,0.0015,0.0,0.0518,0.051,0.0143,0.0075,0.009,0.0158,0.0105,0.0443,0.072,0.0,0.0,0.0038,0.0113,0.0,0.2191,0.1305,0.0015,0.0,0.0173,0.0975,0.0098,0.0923,0.0195,0.0038,0.0054
Basil,0.0074,0.0221,0.0625,0.0118,0.0,0.0,0.0037,0.0147,0.0441,0.114,0.2096,0.0221,0.0404,0.0,0.0,0.114,0.5037,0.0294,0.011,0.0294,0.0,0.3125,0.6029,0.0,0.0257,0.0,0.1029,0.0625,0.3566,0.0294,0.0257,0.4963,0.0,0.114,0.0956,0.0,0.0074,0.0221,0.0588,0.0221,0.0625,0.511,0.0221,0.0,0.0441,0.0846,0.0662,0.2132,0.3676,0.0184,0.0625
Butter,0.0,0.0,0.1367,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076,0.0015,0.0,0.0,0.0,0.2645,0.0,0.0134,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0
"Sweet Corn, Fresh",0.0,0.0,0.0067,0.0067,0.0,0.0,0.0,0.0,0.0267,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0013,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0013,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0013
Celery,0.0076,0.1109,0.0099,0.0251,0.0,0.1132,0.0015,0.0,0.0456,0.0046,0.0076,0.0,0.0068,0.0,0.0038,0.041,0.0015,0.0008,0.0023,0.0175,0.0008,0.0919,0.0144,0.0,0.003,0.0,0.003,0.0114,0.0691,0.016,0.0798,0.0038,0.0061,0.0008,0.0038,0.0,0.0,0.0023,0.0296,0.0008,0.0236,0.2789,0.0,0.0,0.0008,0.1375,0.0061,0.1109,0.0023,0.0236,0.016
Cauliflower,0.0,0.0,0.0,0.0008,0.0,0.0,0.0008,0.0116,0.0116,0.0008,0.0015,0.0,0.0015,0.0,0.0008,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.2098,0.0008,0.0,0.0,0.0008,0.0294,0.0008,0.0008,0.0016,0.0,0.0,0.0132,0.0341,0.0031,0.0,0.0,0.0008,0.0,0.2729,0.0039,0.0008,0.0,0.0023,0.0008,0.0015,0.0062,0.0015,0.0008,0.0015
Cabbage,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0103,0.0,0.0,0.0137,0.0,0.0275,0.0722,0.0,0.0034,0.0034,0.0,0.0,0.0172,0.0,0.0069,0.0034,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0378,0.0378,0.0,0.0,0.0034,0.0206,0.0172,0.0034,0.0034,0.0,0.0
Cilantro,0.0602,0.012,0.0181,0.0,0.0,0.012,0.0723,0.0,0.006,0.1205,0.006,0.006,0.3373,0.0,0.0783,0.0964,0.0301,0.0,0.0181,0.0241,0.0,0.1446,0.2289,0.0,0.0241,0.0092,0.0,0.0241,0.0542,0.006,0.012,0.0301,0.0,0.012,0.0904,0.0,0.0,0.012,0.012,0.0,0.0904,0.2771,0.006,0.012,0.006,0.2048,0.1386,0.2892,0.1205,0.0482,0.006
Cantaloupe,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0701,0.0,0.0015,0.0,0.0,0.0,0.0,0.0022,0.0,0.16,0.0,0.0037,0.0,0.0,0.0589,0.2227,0.0,0.0,0.0007,0.0,0.0236,0.0,0.3378,0.0236,0.0,0.0,0.0074,0.0736,0.0,0.0,0.0,0.0,0.0,0.1018,0.0136,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1637
Carrots,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0033,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0057,0.0,0.0541,0.0,0.0,0.0,0.0016,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0418,0.0,0.0,0.0107,0.0025,0.0,0.0,0.0566,0.0,0.0,0.0156,0.1222,0.0025,0.2018,0.0,0.0,0.0
