cluster,year,mean_normalized_value,n_compounds
1,1992,0.5594555313370003,77
1,1993,0.5362032194096654,77
1,1994,0.670685813604734,77
1,1995,0.6532235078534177,77
1,1996,0.6008933911876602,77
1,1997,0.5322423954443908,77
1,1998,0.4227550370411973,77
1,1999,0.3983343832628309,77
1,2000,0.3586880856238825,77
1,2001,0.29187624383937905,77
1,2002,0.2786517133808423,77
1,2003,0.2626111044970664,77
1,2004,0.25455128038688835,77
1,2005,0.22663556826113015,77
1,2006,0.2065709550241451,77
1,2007,0.2064063828654757,77
1,2008,0.15492355858421444,77
1,2009,0.1379902823104822,77
1,2010,0.12771481749593705,77
1,2011,0.12976827077150604,77
1,2012,0.12075345567473586,77
1,2013,0.10351703107239063,77
1,2014,0.11332645840268199,77
1,2015,0.10113244396124707,77
1,2016,0.10511380689821895,77
1,2017,0.08335375969610523,77
1,2018,0.08510145570577708,77
2,1992,0.5987673079511913,49
2,1993,0.5722710999383176,49
2,1994,0.6927977845555822,49
2,1995,0.7282765679650064,49
2,1996,0.781279542560216,49
2,1997,0.7232157979076211,49
2,1998,0.643180942648634,49
2,1999,0.6148165852585957,49
2,2000,0.5686850290428254,49
2,2001,0.5409121800185516,49
2,2002,0.5254356672174146,49
2,2003,0.5279716915822074,49
2,2004,0.527834395012059,49
2,2005,0.5067196899261924,49
2,2006,0.4773600283196518,49
2,2007,0.46298875872551637,49
2,2008,0.46244394067199357,49
2,2009,0.43774819932019843,49
2,2010,0.45161303722317,49
2,2011,0.490739138371571,49
2,2012,0.48091383119837416,49
2,2013,0.49307907450737504,49
2,2014,0.5016707710058265,49
2,2015,0.49272746528832034,49
2,2016,0.47874976404267044,49
2,2017,0.5176696810777385,49
2,2018,0.4489331963474812,49
3,1992,0.09092405002114232,8
3,1993,0.03357373704847999,8
3,1994,0.029137183724207708,8
3,1995,0.08826203742028627,8
3,1996,0.13025396525738533,8
3,1997,0.1635390956654776,8
3,1998,0.38446875363425487,8
3,1999,0.6167237718353427,8
3,2000,0.7788123650720562,8
3,2001,0.7494829980940111,8
3,2002,0.755843123592993,8
3,2003,0.7765848743585203,8
3,2004,0.8085410464149088,8
3,2005,0.6901204953005555,8
3,2006,0.4704725463762759,8
3,2007,0.5405081595887887,8
3,2008,0.25945537932956,8
3,2009,0.4421043666048632,8
3,2010,0.42042505378671974,8
3,2011,0.25605930158823037,8
3,2012,0.22320679563981422,8
3,2013,0.21511311297701732,8
3,2014,0.15026846290787516,8
3,2015,0.23750689868900954,8
3,2016,0.17535026360390213,8
3,2017,0.1251556965635961,8
3,2018,0.11799754875750336,8
4,1992,0.10336745411707733,45
4,1993,0.11521663724488397,45
4,1994,0.15083593564552072,45
4,1995,0.20892363563311836,45
4,1996,0.2044172644956139,45
4,1997,0.22510078297206704,45
4,1998,0.3094330567303205,45
4,1999,0.32672654825228753,45
4,2000,0.33391195516876654,45
4,2001,0.38003236958282627,45
4,2002,0.386547498153459,45
4,2003,0.3772319665659835,45
4,2004,0.40368394399168456,45
4,2005,0.4000958944622621,45
4,2006,0.38441034848756167,45
4,2007,0.4336658243994024,45
4,2008,0.4385786869802147,45
4,2009,0.45684920973728926,45
4,2010,0.5199913929342644,45
4,2011,0.5653740707851915,45
4,2012,0.6415028721638985,45
4,2013,0.6539576291388072,45
4,2014,0.7172053723924351,45
4,2015,0.7319691404437432,45
4,2016,0.7519196589892435,45
4,2017,0.860206894199405,45
4,2018,0.7993708897720279,45
