normalized,pnsp_compound,pur_chemname,pur_chem_code,cfr180_chemical,cfr180_section,n_sources
1010OXYBISPHENOXYARSINE,,"10,10'-OXYBISPHENOXYARSINE",1402,,,1
1080,,1080,633,,,1
1113HEXADECADIENAL,,"(Z,Z)-11,13-HEXADECADIENAL",5314,,,1
111TRICHLOROETHANE,,"1,1,1-TRICHLOROETHANE",138,,,1
1123TETRAMETHYLBUTYLAMINEDODECYLBENZENESULFONATE,,"1,1,2,3-TETRAMETHYL BUTYLAMINE DODECYL BENZENE SULFONATE",3472,,,1
112TRICHLORO122TRIFLUOROETHANE,,"1,1,2-TRICHLORO-1,2,2-TRIFLUORO-ETHANE",2960,,,1
112TRICHLOROETHANE,,"1,1,2-TRICHLOROETHANE",1425,,,1
1133DIMETHYLBUTANE2OL,,"1-(4-PHENYL PHENOXY)-1-(1,2,4-TRIAZOLE-1)-3,3-DIMETHYL BUTANE-2-OL",2773,,,1
11BIS,,"1,1-(2-BUTENYLENE) BIS (3,5,7-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE)",1943,,,1
11DICHLORO1NITROPROPANE,,"1,1-DICHLORO-1-NITROPROPANE",3902,,,1
11DIMETHYLHYDRAZINE,,"1,1-DIMETHYL HYDRAZINE",2518,,,1
11HEXADECEN1OLACETATE,,(Z)-11-HEXADECEN-1-OL ACETATE,5767,,,1
11HEXADECEN1YLACETATE,,(Z)-11-HEXADECEN-1-YL ACETATE,5316,,,1
11HEXADECENAL,,(Z)-11-HEXADECENAL,2126,,,1
11SULFITE,,1-(PARA-TERT-BUTYL PHENOXY)-1-(2-BUTYNYL) SULFITE,1721,,,1
123PROPANETRICARBOXYLIC2HYDROXYTRILITHIUM,,"1,2,3-PROPANE TRICARBOXYLIC ACID, 2-HYDROXY, TRILITHIUM SALT",3925,,,1
123PROPANETRIOLHOMOPOLYMER9OCTADECENOATE,,"1,2,3-PROPANETRIOL, HOMOPOLYMER, (Z)-9-OCTADECENOATE",2833,,,1
123PROPANETRIOLHOMOPOLYMERDODECANOATE,,"1,2,3-PROPANETRIOL, HOMOPOLYMER, DODECANOATE",6442,,,1
124TRIAZOLE,,"1,2,4-TRIAZOLE",3560,,,1
124TRICHLOROBENZENE,,"1,2,4-TRICHLOROBENZENE",600,,,1
124TRIMETHYLBENZENE,,"1,2,4-TRIMETHYLBENZENE",5883,,,1
