normalized,pnsp_compound,pur_chem_code,cfr180_section,dtxsid,dtxsid_match,unresolved_reason
24D,"2,4-D",636|811|813,180.142,,prefix_only(15),parent name matches several salts/esters/isomers - needs manual selection
24DB,"2,4-DB",5020,,DTXSID7024035,exact,
6BENZYLADENINE,6-BENZYLADENINE,,180.703,DTXSID7032630,exact,
ABAMECTIN,ABAMECTIN,2254,,DTXSID8023892,exact,
ACEPHATE,ACEPHATE,1685,180.108,DTXSID8023846,exact,
ACEQUINOCYL,ACEQUINOCYL,5801,180.599,DTXSID8034297,exact,
ACETAMIPRID,ACETAMIPRID,5762,180.578,DTXSID0034300,exact,
ACETOCHLOR,ACETOCHLOR,2349,180.47,DTXSID8023848,exact,
ACIBENZOLAR,ACIBENZOLAR,,,DTXSID20155187,exact,
ACIFLUORFEN,ACIFLUORFEN,2218,,DTXSID0020022,exact,
ALACHLOR,ALACHLOR,678,180.249,DTXSID1022265,exact,
ALDICARB,ALDICARB,575,180.269,DTXSID0039223,exact,
ALUMINUMPHOSPHIDE,ALUMINUM PHOSPHIDE,484,,DTXSID1023867,exact,
AMECTOCTRADIN,AMECTOCTRADIN,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
AMETRYN,AMETRYN,,180.258,DTXSID1023869,exact,
AMINOPYRALID,AMINOPYRALID,5927,180.61,DTXSID2034330,exact,
ASULAM,ASULAM,1746|5076,180.36,DTXSID8023890,exact,
ATRAZINE,ATRAZINE,45,180.22,DTXSID9020112,exact,
AVIGLYCINE,AVIGLYCINE,,,DTXSID7043875,exact,
AZADIRACHTIN,AZADIRACHTIN,2328,,DTXSID0037497,exact,
AZINPHOSMETHYL,AZINPHOS-METHYL,314,,DTXSID3020122,exact,
AZOXYSTROBIN,AZOXYSTROBIN,4037|6066,180.507,DTXSID0032520,exact,
BACILLUSAMYLOLIQUIFACIEN,BACILLUS AMYLOLIQUIFACIEN,,,,none,"biological agent - not a single substance, correctly absent from a chemical registry"
BACILLUSCEREUS,BACILLUS CEREUS,,,DTXSID801010876,exact,
BACILLUSFIRMUS,BACILLUS FIRMUS,6075,,DTXSID301020541,exact,
BACILLUSPUMILIS,BACILLUS PUMILIS,,,,none,"biological agent - not a single substance, correctly absent from a chemical registry"
BACILLUSSUBTILIS,BACILLUS SUBTILIS,,,DTXSID80897374,exact,
BACILLUSTHURINGIENSIS,BACILLUS THURINGIENSIS,86,,DTXSID6044147,exact,
BENFLURALIN,BENFLURALIN,,180.208,DTXSID3023899,exact,
BENOMYL,BENOMYL,1552,,DTXSID5023900,exact,
BENSULFURON,BENSULFURON,,,DTXSID3074949,exact,
BENSULIDE,BENSULIDE,70,180.241,DTXSID9032329,exact,
BENTAZONE,BENTAZONE,,,DTXSID0023901,exact,
BIFENAZATE,BIFENAZATE,5657,180.572,DTXSID5032525,exact,
BIFENTHRIN,BIFENTHRIN,2300,180.442,DTXSID9020160,exact,
BISPYRIBAC,BISPYRIBAC,,,DTXSID0043977,exact,
BOSCALID,BOSCALID,5790,180.589,DTXSID6034392,exact,
BROMACIL,BROMACIL,1573|83|842,180.21,DTXSID4022020,exact,
BROMOXYNIL,BROMOXYNIL,,180.324,DTXSID3022162,exact,
BUPROFEZIN,BUPROFEZIN,3947,180.511,DTXSID8034401,exact,
BUTRALIN,BUTRALIN,1756,,DTXSID3032337,exact,
CALCIUMPOLYSULFIDE,CALCIUM POLYSULFIDE,,,DTXSID7034414,exact,
CAPTAN,CAPTAN,104,180.103,DTXSID9020243,exact,
CARBARYL,CARBARYL,105,180.169,DTXSID9020247,exact,
CARBOPHENOTHION,CARBOPHENOTHION,110,,DTXSID7022120,exact,
CARBOXIN,CARBOXIN,1755,180.301,DTXSID0023951,exact,
CARFENTRAZONEETHYL,CARFENTRAZONE-ETHYL,5130,180.515,DTXSID4032532,exact,
CHINOMETHIONAT,CHINOMETHIONAT,,,,prefix_only(1),parent name matches several salts/esters/isomers - needs manual selection
CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,5964,180.628,DTXSID2044345,exact,
CHLORETHOXYFOS,CHLORETHOXYFOS,,180.486,DTXSID2032344,exact,
CHLORFENAPYR,CHLORFENAPYR,3938,180.513,DTXSID9032533,exact,
CHLORIMURON,CHLORIMURON,,,DTXSID20244020,exact,
CHLORMEQUAT,CHLORMEQUAT,,,DTXSID4048064,exact,
CHLORONEB,CHLORONEB,135,,DTXSID2024793,exact,
CHLOROPICRIN,CHLOROPICRIN,136,,,prefix_only(4),parent name matches several salts/esters/isomers - needs manual selection
CHLOROTHALONIL,CHLOROTHALONIL,677,180.275,DTXSID0020319,exact,
CHLORPROPHAM,CHLORPROPHAM,141,180.181,DTXSID7020764,exact,
CHLORPYRIFOS,CHLORPYRIFOS,253,180.342,DTXSID4020458,exact,
CHLORSULFURON,CHLORSULFURON,2143,180.405,DTXSID7023980,exact,
CLETHODIM,CLETHODIM,3566,180.458,DTXSID3034458,exact,
CLODINAFOP,CLODINAFOP,,,DTXSID9042332,exact,
CLOFENTEZINE,CLOFENTEZINE,2249,180.446,DTXSID9023881,exact,
CLOMAZONE,CLOMAZONE,3537,180.425,DTXSID1032355,exact,
CLOPYRALID,CLOPYRALID,5135,180.431,DTXSID9029221,exact,
CLORANSULAMMETHYL,CLORANSULAM-METHYL,5781,180.514,DTXSID8034372,exact,
CLOTHIANIDIN,CLOTHIANIDIN,5792,180.586,DTXSID2034465,exact,
CONIOTHYRIUMMINITANS,CONIOTHYRIUM MINITANS,,,DTXSID901343923,exact,
COPPER,COPPER,714,180.1021,DTXSID2023985,exact,
COPPERHYDROXIDE,COPPER HYDROXIDE,151,,DTXSID601028144,exact,
COPPEROCTANOATE,COPPER OCTANOATE,5225,,DTXSID0034778,exact,
COPPEROXYCHLORIDE,COPPER OXYCHLORIDE,156,,DTXSID6034475,exact,
COPPEROXYCHLORIDES,COPPER OXYCHLORIDE S,,,,prefix_only(1),parent name matches several salts/esters/isomers - needs manual selection
COPPERSULFATE,COPPER SULFATE,161|162|1778,,DTXSID6034479,exact,
COPPERSULFTRIBASIC,COPPER SULF TRIBASIC,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
CPPU,CPPU,,,DTXSID1034634,exact,
CRYOLITE,CRYOLITE,173,,DTXSID0034487,exact,
CUPROUSOXIDE,CUPROUS OXIDE,,,DTXSID0034489,exact,
CYANAMIDE,CYANAMIDE,,,DTXSID9034490,exact,
CYAZOFAMID,CYAZOFAMID,5930,180.601,DTXSID9034492,exact,
CYCLANILIDE,CYCLANILIDE,4030,180.506,DTXSID5032600,exact,
CYCLOATE,CYCLOATE,516,,DTXSID6032356,exact,
CYDIAPOMONELLA,CYDIA POMONELLA,,,,prefix_only(1),"biological agent - not a single substance, correctly absent from a chemical registry"
CYFLUFENAMID,CYFLUFENAMID,6003,,DTXSID30431727,exact,
CYFLUTHRIN,CYFLUTHRIN,2223,,DTXSID5035957,exact,
CYHALOFOP,CYHALOFOP,,,DTXSID701022032,exact,
CYHALOTHRINGAMMA,CYHALOTHRIN-GAMMA,,,,none,abbreviated or variant spelling in PNSP - needs manual mapping
CYHALOTHRINLAMBDA,CYHALOTHRIN-LAMBDA,,,DTXSID7032559,exact,
CYMOXANIL,CYMOXANIL,4002,,DTXSID6032358,exact,
CYPERMETHRIN,CYPERMETHRIN,2171|3866,,DTXSID1023998,exact,
CYPROCONAZOLE,CYPROCONAZOLE,5105,180.485,DTXSID0032601,exact,
CYPRODINIL,CYPRODINIL,4000,180.532,DTXSID1032359,exact,
CYROMAZINE,CYROMAZINE,2286,180.414,DTXSID6023999,exact,
