pnsp_compound,normalized,pur_chem_code,cfr180_section,dtxsid,matched_name,match
"2,4-D",24D,636|811|813,180.142,,,prefix_only(15)
"2,4-DB",24DB,5020,,DTXSID7024035,"2,4-DB",exact
6-BENZYLADENINE,6BENZYLADENINE,,180.703,DTXSID7032630,6-Benzyladenine,exact
ABAMECTIN,ABAMECTIN,2254,,DTXSID8023892,Abamectin,exact
ACEPHATE,ACEPHATE,1685,180.108,DTXSID8023846,Acephate,exact
ACEQUINOCYL,ACEQUINOCYL,5801,180.599,DTXSID8034297,Acequinocyl,exact
ACETAMIPRID,ACETAMIPRID,5762,180.578,DTXSID0034300,Acetamiprid,exact
ACETOCHLOR,ACETOCHLOR,2349,180.47,DTXSID8023848,Acetochlor,exact
ACIBENZOLAR,ACIBENZOLAR,,,DTXSID20155187,Acibenzolar,exact
ACIFLUORFEN,ACIFLUORFEN,2218,,DTXSID0020022,Acifluorfen,exact
ALACHLOR,ALACHLOR,678,180.249,DTXSID1022265,Alachlor,exact
ALDICARB,ALDICARB,575,180.269,DTXSID0039223,Aldicarb,exact
ALUMINUM PHOSPHIDE,ALUMINUMPHOSPHIDE,484,,DTXSID1023867,Aluminum phosphide,exact
AMECTOCTRADIN,AMECTOCTRADIN,,,,,none
AMETRYN,AMETRYN,,180.258,DTXSID1023869,Ametryn,exact
AMINOPYRALID,AMINOPYRALID,5927,180.61,DTXSID2034330,Aminopyralid,exact
ASULAM,ASULAM,1746|5076,180.36,DTXSID8023890,Asulam,exact
ATRAZINE,ATRAZINE,45,180.22,DTXSID9020112,Atrazine,exact
AVIGLYCINE,AVIGLYCINE,,,DTXSID7043875,Aviglycine,exact
AZADIRACHTIN,AZADIRACHTIN,2328,,DTXSID0037497,Azadirachtin,exact
AZINPHOS-METHYL,AZINPHOSMETHYL,314,,DTXSID3020122,Azinphos-methyl,exact
AZOXYSTROBIN,AZOXYSTROBIN,4037|6066,180.507,DTXSID0032520,Azoxystrobin,exact
BACILLUS AMYLOLIQUIFACIEN,BACILLUSAMYLOLIQUIFACIEN,,,,,none
BACILLUS CEREUS,BACILLUSCEREUS,,,DTXSID801010876,Bacillus cereus,exact
BACILLUS FIRMUS,BACILLUSFIRMUS,6075,,DTXSID301020541,Bacillus firmus,exact
BACILLUS PUMILIS,BACILLUSPUMILIS,,,,,none
BACILLUS SUBTILIS,BACILLUSSUBTILIS,,,DTXSID80897374,Bacillus subtilis,exact
BACILLUS THURINGIENSIS,BACILLUSTHURINGIENSIS,86,,DTXSID6044147,Bacillus thuringiensis,exact
BENFLURALIN,BENFLURALIN,,180.208,DTXSID3023899,Benfluralin,exact
BENOMYL,BENOMYL,1552,,DTXSID5023900,Benomyl,exact
BENSULFURON,BENSULFURON,,,DTXSID3074949,Bensulfuron,exact
BENSULIDE,BENSULIDE,70,180.241,DTXSID9032329,Bensulide,exact
BENTAZONE,BENTAZONE,,,DTXSID0023901,Bentazone,exact
BIFENAZATE,BIFENAZATE,5657,180.572,DTXSID5032525,Bifenazate,exact
BIFENTHRIN,BIFENTHRIN,2300,180.442,DTXSID9020160,Bifenthrin,exact
BISPYRIBAC,BISPYRIBAC,,,DTXSID0043977,Bispyribac,exact
BOSCALID,BOSCALID,5790,180.589,DTXSID6034392,Boscalid,exact
BROMACIL,BROMACIL,1573|83|842,180.21,DTXSID4022020,Bromacil,exact
BROMOXYNIL,BROMOXYNIL,,180.324,DTXSID3022162,Bromoxynil,exact
BUPROFEZIN,BUPROFEZIN,3947,180.511,DTXSID8034401,Buprofezin,exact
BUTRALIN,BUTRALIN,1756,,DTXSID3032337,Butralin,exact
CALCIUM POLYSULFIDE,CALCIUMPOLYSULFIDE,,,DTXSID7034414,Calcium polysulfide,exact
CAPTAN,CAPTAN,104,180.103,DTXSID9020243,Captan,exact
CARBARYL,CARBARYL,105,180.169,DTXSID9020247,Carbaryl,exact
CARBOPHENOTHION,CARBOPHENOTHION,110,,DTXSID7022120,Carbophenothion,exact
CARBOXIN,CARBOXIN,1755,180.301,DTXSID0023951,Carboxin,exact
CARFENTRAZONE-ETHYL,CARFENTRAZONEETHYL,5130,180.515,DTXSID4032532,Carfentrazone-ethyl,exact
CHINOMETHIONAT,CHINOMETHIONAT,,,,,prefix_only(1)
CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,5964,180.628,DTXSID2044345,Chlorantraniliprole,exact
CHLORETHOXYFOS,CHLORETHOXYFOS,,180.486,DTXSID2032344,Chlorethoxyfos,exact
CHLORFENAPYR,CHLORFENAPYR,3938,180.513,DTXSID9032533,Chlorfenapyr,exact
CHLORIMURON,CHLORIMURON,,,DTXSID20244020,Chlorimuron,exact
CHLORMEQUAT,CHLORMEQUAT,,,DTXSID4048064,Chlormequat,exact
CHLORONEB,CHLORONEB,135,,DTXSID2024793,Chloroneb,exact
CHLOROPICRIN,CHLOROPICRIN,136,,,,prefix_only(4)
CHLOROTHALONIL,CHLOROTHALONIL,677,180.275,DTXSID0020319,Chlorothalonil,exact
CHLORPROPHAM,CHLORPROPHAM,141,180.181,DTXSID7020764,Chlorpropham,exact
CHLORPYRIFOS,CHLORPYRIFOS,253,180.342,DTXSID4020458,Chlorpyrifos,exact
CHLORSULFURON,CHLORSULFURON,2143,180.405,DTXSID7023980,Chlorsulfuron,exact
CLETHODIM,CLETHODIM,3566,180.458,DTXSID3034458,Clethodim,exact
CLODINAFOP,CLODINAFOP,,,DTXSID9042332,Clodinafop,exact
CLOFENTEZINE,CLOFENTEZINE,2249,180.446,DTXSID9023881,Clofentezine,exact
CLOMAZONE,CLOMAZONE,3537,180.425,DTXSID1032355,Clomazone,exact
CLOPYRALID,CLOPYRALID,5135,180.431,DTXSID9029221,Clopyralid,exact
CLORANSULAM-METHYL,CLORANSULAMMETHYL,5781,180.514,DTXSID8034372,Cloransulam-methyl,exact
CLOTHIANIDIN,CLOTHIANIDIN,5792,180.586,DTXSID2034465,Clothianidin,exact
CONIOTHYRIUM MINITANS,CONIOTHYRIUMMINITANS,,,DTXSID901343923,Coniothyrium minitans,exact
COPPER,COPPER,714,180.1021,DTXSID2023985,Copper,exact
COPPER HYDROXIDE,COPPERHYDROXIDE,151,,DTXSID601028144,Copper hydroxide,exact
COPPER OCTANOATE,COPPEROCTANOATE,5225,,DTXSID0034778,Copper octanoate,exact
COPPER OXYCHLORIDE,COPPEROXYCHLORIDE,156,,DTXSID6034475,Copper oxychloride,exact
COPPER OXYCHLORIDE S,COPPEROXYCHLORIDES,,,,,prefix_only(1)
COPPER SULFATE,COPPERSULFATE,161|162|1778,,DTXSID6034479,Copper sulfate,exact
COPPER SULF TRIBASIC,COPPERSULFTRIBASIC,,,,,none
CPPU,CPPU,,,DTXSID1034634,CPPU,exact
CRYOLITE,CRYOLITE,173,,DTXSID0034487,Cryolite,exact
CUPROUS OXIDE,CUPROUSOXIDE,,,DTXSID0034489,Cuprous oxide,exact
CYANAMIDE,CYANAMIDE,,,DTXSID9034490,Cyanamide,exact
CYAZOFAMID,CYAZOFAMID,5930,180.601,DTXSID9034492,Cyazofamid,exact
CYCLANILIDE,CYCLANILIDE,4030,180.506,DTXSID5032600,Cyclanilide,exact
CYCLOATE,CYCLOATE,516,,DTXSID6032356,Cycloate,exact
CYDIA POMONELLA,CYDIAPOMONELLA,,,,,prefix_only(1)
CYFLUFENAMID,CYFLUFENAMID,6003,,DTXSID30431727,Cyflufenamid,exact
CYFLUTHRIN,CYFLUTHRIN,2223,,DTXSID5035957,Cyfluthrin,exact
CYHALOFOP,CYHALOFOP,,,DTXSID701022032,Cyhalofop,exact
CYHALOTHRIN-GAMMA,CYHALOTHRINGAMMA,,,,,none
CYHALOTHRIN-LAMBDA,CYHALOTHRINLAMBDA,,,DTXSID7032559,Cyhalothrin lambda,exact
CYMOXANIL,CYMOXANIL,4002,,DTXSID6032358,Cymoxanil,exact
CYPERMETHRIN,CYPERMETHRIN,2171|3866,,DTXSID1023998,Cypermethrin,exact
CYPROCONAZOLE,CYPROCONAZOLE,5105,180.485,DTXSID0032601,Cyproconazole,exact
CYPRODINIL,CYPRODINIL,4000,180.532,DTXSID1032359,Cyprodinil,exact
CYROMAZINE,CYROMAZINE,2286,180.414,DTXSID6023999,Cyromazine,exact
CYTOKININ,CYTOKININ,2082,,DTXSID9035175,Cytokinin,exact
DAMINOZIDE,DAMINOZIDE,7,,DTXSID9020370,Daminozide,exact
DAZOMET,DAZOMET,2029|233,,DTXSID7024902,Dazomet,exact
DCPA,DCPA,,180.185,DTXSID20872529,DCPA,exact
DECAN-1-OL,DECAN1OL,,,DTXSID7021946,Decan-1-ol,exact
DELTAMETHRIN,DELTAMETHRIN,3010,180.435,DTXSID8020381,Deltamethrin,exact
DESMEDIPHAM,DESMEDIPHAM,1748,180.353,DTXSID0034518,Desmedipham,exact
DIAZINON,DIAZINON,198,180.153,DTXSID9020407,Diazinon,exact
DICAMBA,DICAMBA,200|5057|5110,180.227,DTXSID4024018,Dicamba,exact
DICHLOBENIL,DICHLOBENIL,112,180.231,DTXSID5032365,Dichlobenil,exact
DICHLOROPROPENE,DICHLOROPROPENE,,,DTXSID00891738,Dichloropropene,exact
DICHLORPROP,DICHLORPROP,2503,,DTXSID0020440,Dichlorprop,exact
DICLOFOP,DICLOFOP,,,DTXSID5041859,Diclofop,exact
DICLORAN,DICLORAN,81,180.2,DTXSID2020426,Dicloran,exact
DICLOSULAM,DICLOSULAM,,180.543,DTXSID4034528,Diclosulam,exact
DICOFOL,DICOFOL,346,180.163,DTXSID4020450,Dicofol,exact
DICROTOPHOS,DICROTOPHOS,72,180.299,DTXSID9023914,Dicrotophos,exact
DIENOCHLOR,DIENOCHLOR,468,,DTXSID9032371,Dienochlor,exact
DIETHATYL,DIETHATYL,,,DTXSID80192018,Diethatyl,exact
DIFENOCONAZOLE,DIFENOCONAZOLE,5024,180.475,DTXSID4032372,Difenoconazole,exact
DIFLUBENZURON,DIFLUBENZURON,1992,180.377,DTXSID1024049,Diflubenzuron,exact
DIFLUFENZOPYR,DIFLUFENZOPYR,5750|5751,180.549,DTXSID8034538,Diflufenzopyr,exact
DIMETHENAMID,DIMETHENAMID,5112,180.464,DTXSID4032376,Dimethenamid,exact
DIMETHENAMID-P,DIMETHENAMIDP,5919,,DTXSID2034542,Dimethenamid-P,exact
DIMETHIPIN,DIMETHIPIN,2159,,DTXSID0024052,Dimethipin,exact
DIMETHOATE,DIMETHOATE,216,180.204,DTXSID7020479,Dimethoate,exact
DIMETHOMORPH,DIMETHOMORPH,4003,180.493,DTXSID7034545,Dimethomorph,exact
DIMETHYL DISULFIDE,DIMETHYLDISULFIDE,5899,,DTXSID4025117,Dimethyl disulfide,exact
DINOSEB,DINOSEB,1445|238|240,,DTXSID3020207,Dinoseb,exact
DINOTEFURAN,DINOTEFURAN,5822,180.603,DTXSID7034549,Dinotefuran,exact
DIQUAT,DIQUAT,,180.226,DTXSID6034554,Diquat,exact
