compound,cluster,use_1992_Mkg,use_2018_Mkg,peak_Mkg,peak_year
METOLACHLOR,1,29.4216087,6.075506900000001,32.6854697,1994
TRIFLURALIN,1,11.9104865,3.0577351,13.3148785,1994
SODIUM CHLORATE,1,2.1990657999999996,1.2417463999999998,13.3074725,1996
PROPANIL,1,4.9013774,1.2341529,5.3317274,1994
BENTAZONE,1,3.4266095,1.0981187,3.4266095,1992
EPTC,1,9.7909258,1.0146463000000001,9.7909258,1992
ETHALFLURALIN,1,2.1978811,0.8962164,2.3072429,1995
PHORATE,1,2.2969702,0.6407265,3.1869056000000002,1994
TERBUFOS,1,4.0538655,0.6237768,4.4959407,1997
FLUOMETURON,1,2.1513664,0.6206573,3.2590729,1995
CLOMAZONE,1,1.2051893,0.5120769000000001,1.7840593999999999,1997
METHYL BROMIDE,1,35.0137847,0.367409,41.8531879,1995
MSMA,1,2.0455363,0.3542546,3.7437352,1996
COPPER SULFATE,1,2.0133114,0.33710759999999995,3.4306009,1994
CARBARYL,1,2.0759467,0.31953859999999995,2.6797737,1995
ALACHLOR,1,25.9340121,0.2107614,25.9340121,1992
METHOMYL,1,0.6045849,0.2007317,1.3116884,1995
MALATHION,1,1.6750882,0.177664,2.9898322000000004,1997
NORFLURAZON,1,1.0973233,0.16957229999999998,1.7038482,1995
QUINTOZENE,1,0.5763189000000001,0.1616315,0.8506939,1994
FLUAZIFOP,1,0.36589940000000004,0.15898189999999998,0.5847675,1997
ETHOPROPHOS,1,1.6311414,0.145999,1.6311414,1992
DICHLORPROP,1,0.2102387,0.1443794,0.8181755,1995
FERBAM,1,0.1866632,0.1434936,0.1866632,1992
LINURON,1,1.1788366000000001,0.1168151,1.3886294,1993
DCPA,1,0.6480739,0.0974774,1.0550265,1993
SETHOXYDIM,1,0.5577746,0.0928755,0.8191049,1995
MCPB,1,0.16646280000000002,0.0802841,0.16646280000000002,1992
ETHOFUMESATE,1,0.08181619999999999,0.0710498,0.5265523000000001,2004
IMAZAQUIN,1,0.5478311,0.0557314,0.6510311,1993
NAPROPAMIDE,1,0.19264320000000001,0.0487777,0.2490808,1993
DIMETHENAMID,1,0.0,0.0447037,5.0241278,1996
TRI-ALLATE,1,1.1603557,0.039476800000000006,2.6887252000000004,1997
BROMACIL,1,0.6621406,0.0350566,0.8015589000000001,1993
DIAZINON,1,0.3696997,0.033203699999999996,1.1182679,1997
IPRODIONE,1,0.1214532,0.030931200000000002,0.6623518,1994
METIRAM,1,0.2108497,0.030833100000000002,1.5672756,2007
FOSETYL,1,0.0566101,0.0228038,0.2410696,1999
CUPROUS OXIDE,1,0.0041148999999999995,0.0225676,0.5427708,2011
IMAZAPIC,1,0.0,0.0212794,0.1175413,2002
METHYL PARATHION,1,0.815095,0.020969400000000003,2.5482704,1998
COPPER OXYCHLORIDE S,1,0.023563900000000002,0.0204131,0.34422410000000003,2011
BENFLURALIN,1,0.2881311,0.0181858,0.2881311,1992
TERBACIL,1,0.1902541,0.0127577,0.3354807,2003
DICLORAN,1,0.0098199,0.0118456,0.14123860000000002,1997
TEBUTHIURON,1,0.1829413,0.0103608,0.6176658,1995
FENBUTATIN OXIDE,1,0.1636109,0.0080006,0.28916359999999997,2000
ORYZALIN,1,0.20383489999999999,0.0069721,0.6560354,1996
NALED,1,0.0462365,0.0064156000000000005,0.4107987,1996
NEEM OIL,1,0.0,0.0046869,0.234006,2008
METALAXYL,1,0.700149,0.004229,0.7480781,1994
CYCLOATE,1,0.528243,0.0032274,0.528243,1992
DESMEDIPHAM,1,0.0986013,0.0031334,0.176263,2000
IMAZAMETHABENZ,1,0.138739,0.0007654,0.365129,1994
CRYOLITE,1,0.6935916,0.00036760000000000004,0.9391206,1994
POTASSIUM OLEATE,1,0.017029,7.27e-05,0.1085701,2004
AMETRYN,1,0.3126274,0.0,0.3487328,1994
AZINPHOS-METHYL,1,1.3891183999999999,0.0,1.4895011999999999,1994
BENOMYL,1,0.4225235,0.0,0.5273213,1994
DICLOFOP,1,1.0700564,0.0,1.0700564,1992
DICOFOL,1,0.214691,0.0,0.3455479,1995
DIMETHIPIN,1,0.0357608,0.0,0.1183715,2001
DISULFOTON,1,0.8976557,0.0,1.1657758,1995
ENDOSULFAN,1,0.5887333,0.0,2.1276731,1994
ETRIDIAZOLE,1,0.0647671,0.0,0.1755598,1994
FENAMIPHOS,1,0.5138237,0.0,0.5138237,1992
FORMETANATE,1,0.0561069,0.0,0.1842743,1993
HYDRATED LIME,1,0.0094412,0.0,0.16206469999999998,2014
IMAZAPYR,1,0.0120351,0.0,0.17114970000000002,1995
MANEB,1,0.767802,0.0,1.1189898999999999,1994
METHAMIDOPHOS,1,0.32401959999999996,0.0,0.4670418,1994
NAPTALAM,1,0.265322,0.0,0.265322,1992
PIPERONYL BUTOXIDE,1,0.024411,0.0,0.1028917,1994
PROFENOFOS,1,0.7001434,0.0,1.4254893,1995
TETRATHIOCARBONATE,1,0.0,0.0,0.20700739999999998,1996
THIODICARB,1,0.3935075,0.0,1.2165793,1995
TRIADIMEFON,1,0.0538951,0.0,0.1584057,1995
ATRAZINE,2,38.308886,32.105991,38.308886,1992
METAM,2,17.900688300000002,28.9749336,28.9749336,2018
"2,4-D",2,15.025454,21.5487568,21.5487568,2018
DICHLOROPROPENE,2,21.8613852,21.4467313,31.8007577,1996
PETROLEUM OIL,2,12.2180667,12.814821199999999,41.780688700000006,1999
DICAMBA,2,3.9173234,12.2899791,12.2899791,2018
SULFUR,2,7.3432831,5.3861774,7.9214856,2001
PENDIMETHALIN,2,10.757290300000001,5.0759611,13.2522492,1995
CHLOROTHALONIL,2,4.0163339,3.9943849,6.218292,1993
CHLORPYRIFOS,2,6.179560400000001,3.2755482999999996,6.8297612999999995,1993
METRIBUZIN,2,1.9235016,2.7462115,2.884152,2017
MANCOZEB,2,3.8400737,2.5672492,4.9277671,1995
SIMAZINE,2,2.4769512000000002,1.7005978,4.1549294,2008
BROMOXYNIL,2,1.5372077,1.3398143,2.1464643999999997,1997
DIURON,2,2.3528488,1.2403278,4.1513282,1994
MCPA,2,2.3040697000000003,1.113908,3.8449267999999996,1999
CAPTAN,2,2.8274351,1.0771167,2.8274351,1992
COPPER HYDROXIDE,2,1.6626698,1.0709991,3.958975,1997
TRICLOPYR,2,0.5072331,0.8860371,1.94315,1998
THIOBENCARB,2,0.7234347,0.4713941,0.759481,2016
PROMETRYN,2,0.8364086,0.4652088,1.1769819,1996
ACIFLUORFEN,2,0.6637463,0.4620655,0.9431959,1996
DIMETHOATE,2,0.949268,0.4350716,1.9182499,1996
IMAZETHAPYR,2,0.44422290000000003,0.38914129999999997,0.8180866999999999,1995
PICLORAM,2,0.6730444,0.3700624,1.2872561999999999,1994
PHOSMET,2,0.585225,0.3098186,0.7085912,2003
BACILLUS THURINGIENSIS,2,0.11152159999999998,0.2880418,0.2880418,2018
MALEIC HYDRAZIDE,2,0.6831255,0.2576523,0.6831255,1992
PERMETHRIN,2,0.4245715,0.2343635,0.5644725,1995
ZIRAM,2,0.3873328,0.2225095,0.7609796,1996
"2,4-DB",2,0.45287720000000004,0.2221371,1.0802251,2011
DODINE,2,0.14613389999999998,0.2006093,0.2556599,2017
HEXAZINONE,2,0.3258688,0.19450420000000002,0.5342008,1996
OXAMYL,2,0.2433483,0.1778547,0.5070577000000001,2006
FENTIN,2,0.23613779999999998,0.1613828,0.34718859999999996,1996
ALDICARB,2,1.3814189,0.1308087,2.5002121,1999
DIQUAT,2,0.10844419999999999,0.1285358,0.2528465,1996
CHLORIMURON,2,0.1151017,0.10425,0.1519825,2014
OXYFLUORFEN,2,0.0577607,0.1033902,0.3582965,1996
TEFLUTHRIN,2,0.1615145,0.09393539999999999,0.4438258,2003
NICOSULFURON,2,0.07917089999999999,0.0768099,0.1485545,1997
BENSULIDE,2,0.2168278,0.0717176,0.49728209999999995,1994
QUIZALOFOP,2,0.07591360000000001,0.056891199999999996,0.13796339999999999,1995
ESFENVALERATE,2,0.1405577,0.0365756,0.16567579999999998,1994
FENOXAPROP,2,0.2337901,0.0365037,0.2612014,1997
CHLORETHOXYFOS,2,0.0136334,0.02858,0.171232,1997
THIRAM,2,0.037202900000000004,0.0257212,0.2255826,1999
CYPERMETHRIN,2,0.1269566,0.019479,0.17423260000000002,2017
PROPAZINE,2,0.0598664,0.0104934,0.355377,2017
SULFURIC ACID,3,0.38821690000000003,2.6537885,22.722802100000003,2004
SULFCARBAMIDE,3,0.0862916,0.1293852,1.9520289,2002
FLUFENACET,3,0.0,0.129138,0.6711277,2004
TEBUPIRIMPHOS,3,0.0,0.0683747,0.447213,2004
CYCLANILIDE,3,0.0,0.0431431,0.1163658,1999
TRALKOXYDIM,3,0.0,0.003448,0.1232417,2000
FIPRONIL,3,0.0,0.0032099,0.1903117,2002
ASULAM,3,0.43520739999999997,0.0,0.6533651,1999
GLYPHOSATE,4,6.9083072,119.220249,127.90929270000001,2016
METOLACHLOR-S,4,0.0,29.8589646,29.8589646,2018
ACETOCHLOR,4,0.0,24.389790100000003,24.8866811,2017
CHLOROPICRIN,4,2.217457,8.6786609,8.6786609,2018
GLUFOSINATE,4,0.0,8.6320406,8.6320406,2018
PARAQUAT,4,2.2343838,6.448555099999999,6.6794633,2017
ETHEPHON,4,0.267499,4.9026476,4.9026476,2018
FOMESAFEN,4,0.1983595,2.8088598,3.1375463999999997,2017
ACEPHATE,4,0.8418479,2.0407398,3.1423148,2017
SULFENTRAZONE,4,0.0,1.6561879,2.0104661999999998,2017
TRIBUFOS,4,0.34683240000000004,1.5171922,2.0095207,2001
PROPARGITE,4,0.28999790000000003,1.1910077,3.8942193000000005,2016
DECAN-1-OL,4,0.925522,1.1608593,2.5653951,2011
AZOXYSTROBIN,4,0.0,1.156951,1.1691938,2017
CALCIUM POLYSULFIDE,4,0.1917933,1.1546948000000001,1.1698538,2017
PROPICONAZOLE,4,0.2741929,1.0644751000000001,1.0886557,2017
CLETHODIM,4,0.0843252,1.047642,1.047642,2018
CLOPYRALID,4,0.1149363,0.9819526999999999,1.2040571,1998
TEBUCONAZOLE,4,0.0,0.8205093,1.2263466,2015
THIOPHANATE-METHYL,4,0.360489,0.7883926,1.237181,2015
FLUROXYPYR,4,0.0,0.7640587,0.8820318,2017
BIFENTHRIN,4,0.028711599999999997,0.6567933,0.6893306,2017
COPPER,4,0.0205527,0.6180814,0.6180814,2018
DICROTOPHOS,4,0.2544334,0.4319737,0.6576245,2004
TRIFLOXYSTROBIN,4,0.0,0.36068890000000003,0.5050602,2014
LACTOFEN,4,0.11154639999999999,0.34836009999999995,0.43013070000000003,2015
CYHALOTHRIN-LAMBDA,4,0.0847608,0.3441317,0.3441317,2018
IMIDACLOPRID,4,0.0,0.32430640000000005,0.9080468,2014
FLUTOLANIL,4,0.0,0.30831379999999997,0.4123111,2015
MEPIQUAT,4,0.0599947,0.3010162,0.3010162,2018
ISOXAFLUTOLE,4,0.0,0.29866529999999997,0.3568471,2014
QUINCLORAC,4,0.039460300000000004,0.2658547,0.2774514,2017
THIDIAZURON,4,0.0149748,0.1914641,0.1914641,2018
FLUMETSULAM,4,0.0,0.16049770000000002,0.2445662,2015
DIFLUFENZOPYR,4,0.0,0.129951,0.1782569,2017
COPPER OXYCHLORIDE,4,0.0,0.1255809,0.1255809,2018
CLORANSULAM-METHYL,4,0.0,0.1102703,0.1201859,2017
TETRACONAZOLE,4,0.0,0.10985439999999999,0.1110172,2008
MEFENOXAM,4,0.0,0.1092807,0.1557377,1999
CYFLUTHRIN,4,0.059394699999999995,0.09762610000000001,0.16505270000000002,2014
