compound,pesticide_class,class_source
1-METHYL CYCLOPROPENE,UNCLASSIFIED,none
"2,4-D",HERBICIDE,nass_domaincat
"2,4-DB",HERBICIDE,nass_domaincat
6-BENZYLADENINE,UNCLASSIFIED,none
ABAMECTIN,INSECTICIDE,nass_domaincat
ABSCISIC ACID,UNCLASSIFIED,none
ACEPHATE,INSECTICIDE,nass_domaincat
ACEQUINOCYL,INSECTICIDE,nass_domaincat
ACETAMIPRID,INSECTICIDE,nass_domaincat
ACETOCHLOR,HERBICIDE,nass_domaincat
ACIBENZOLAR,UNCLASSIFIED,none
ACIFLUORFEN,HERBICIDE,manual
ALACHLOR,HERBICIDE,nass_domaincat
ALDICARB,INSECTICIDE,nass_domaincat
ALLYL ISOTHIOCYANATE,OTHER,manual
ALPHA CYPERMETHRIN,INSECTICIDE,nass_domaincat
ALUMINUM PHOSPHIDE,INSECTICIDE,nass_domaincat
AMECTOCTRADIN,UNCLASSIFIED,none
AMETRYN,HERBICIDE,nass_domaincat
AMINOPYRALID,HERBICIDE,nass_domaincat
AMITRAZ,INSECTICIDE,nass_domaincat
AMITROLE,HERBICIDE,nass_domaincat
AMMONIUM SULFAMATE,UNCLASSIFIED,none
AMPELOMYCES QUISQUALIS,UNCLASSIFIED,none
ANILAZINE,FUNGICIDE,nass_domaincat
ARSENIC ACID,OTHER,nass_domaincat
ASPERGILLUS FLAVUS,FUNGICIDE,nass_domaincat
ASULAM,HERBICIDE,manual
ATRAZINE,HERBICIDE,nass_domaincat
AUREOBASIDIUM PULLULANS,UNCLASSIFIED,none
AVIGLYCINE,UNCLASSIFIED,none
AZADIRACHTIN,INSECTICIDE,nass_domaincat
AZINPHOS-METHYL,INSECTICIDE,nass_domaincat
AZOXYSTROBIN,FUNGICIDE,nass_domaincat
BACILLUS AMYLOLIQUIFACIEN,FUNGICIDE,manual
BACILLUS CEREUS,OTHER,nass_domaincat
BACILLUS FIRMUS,UNCLASSIFIED,none
BACILLUS MYCOIDES,UNCLASSIFIED,none
BACILLUS PUMILIS,UNCLASSIFIED,none
BACILLUS SUBTILIS,FUNGICIDE,nass_domaincat
BACILLUS THURINGIENSIS,INSECTICIDE,manual
BACTERIOPHAGE,OTHER,nass_domaincat
BARBAN,HERBICIDE,nass_domaincat
BARIUM POLYSULFIDE,OTHER,manual
BEAUVERIA BASSIANA,INSECTICIDE,nass_domaincat
BENDIOCARB,INSECTICIDE,nass_domaincat
BENFLURALIN,HERBICIDE,manual
BENOMYL,FUNGICIDE,nass_domaincat
BENSULFURON,UNCLASSIFIED,none
BENSULIDE,HERBICIDE,nass_domaincat
BENTAZONE,HERBICIDE,manual
BENZOVIDIFLUPYR,UNCLASSIFIED,none
BICYCLOPYRONE,HERBICIDE,nass_domaincat
BIFENAZATE,INSECTICIDE,nass_domaincat
BIFENOX,UNCLASSIFIED,none
BIFENTHRIN,INSECTICIDE,nass_domaincat
BISPYRIBAC,UNCLASSIFIED,none
BLADPROTEIN,UNCLASSIFIED,none
BORDEAUX MIXTURE,UNCLASSIFIED,none
BOSCALID,FUNGICIDE,nass_domaincat
BROMACIL,HERBICIDE,nass_domaincat
BROMOXYNIL,HERBICIDE,nass_domaincat
BUPROFEZIN,INSECTICIDE,nass_domaincat
BURKHOLDERIA CEPACIA,UNCLASSIFIED,none
BURKHOLDERIA SPP,FUNGICIDE,manual
BUTRALIN,OTHER,manual
BUTYLATE,HERBICIDE,nass_domaincat
CALCIUM CHLORIDE,OTHER,manual
CALCIUM POLYSULFIDE,FUNGICIDE,nass_domaincat
CAPTAFOL,UNCLASSIFIED,none
CAPTAN,FUNGICIDE,nass_domaincat
CARBARYL,INSECTICIDE,nass_domaincat
CARBOFURAN,INSECTICIDE,nass_domaincat
CARBOXIN,FUNGICIDE,nass_domaincat
CARFENTRAZONE-ETHYL,HERBICIDE,nass_domaincat
CHENOPODIUM AMBROSIOIDES,UNCLASSIFIED,none
CHINOMETHIONAT,UNCLASSIFIED,none
CHLORAMBEN,HERBICIDE,manual
CHLORANTRANILIPROLE,INSECTICIDE,nass_domaincat
CHLORDIMEFORM,UNCLASSIFIED,none
CHLORETHOXYFOS,INSECTICIDE,nass_domaincat
CHLORFENAPYR,INSECTICIDE,nass_domaincat
CHLORIDAZON,HERBICIDE,manual
CHLORIMURON,HERBICIDE,manual
CHLORMEQUAT,UNCLASSIFIED,none
CHLOROBENZILATE,UNCLASSIFIED,none
CHLORONEB,FUNGICIDE,nass_domaincat
CHLOROPICRIN,OTHER,nass_domaincat
CHLOROTHALONIL,FUNGICIDE,nass_domaincat
CHLOROXURON,HERBICIDE,nass_domaincat
CHLORPROPHAM,UNCLASSIFIED,none
CHLORPYRIFOS,INSECTICIDE,nass_domaincat
CHLORSULFURON,HERBICIDE,nass_domaincat
CHROMOBACTERIUM SUBTSUGAE,UNCLASSIFIED,none
CINNAMALDEHYDE,INSECTICIDE,nass_domaincat
CLETHODIM,HERBICIDE,nass_domaincat
CLODINAFOP,HERBICIDE,manual
CLOFENTEZINE,INSECTICIDE,nass_domaincat
CLOMAZONE,HERBICIDE,nass_domaincat
CLOPYRALID,HERBICIDE,nass_domaincat
CLORANSULAM-METHYL,HERBICIDE,nass_domaincat
CLOTHIANIDIN,INSECTICIDE,nass_domaincat
COLLECTOTRICHUM SPORES,UNCLASSIFIED,none
CONIOTHYRIUM MINITANS,UNCLASSIFIED,none
COPPER,FUNGICIDE,manual
COPPER HYDROXIDE,FUNGICIDE,nass_domaincat
COPPER OCTANOATE,FUNGICIDE,nass_domaincat
COPPER OXYCHLORIDE,FUNGICIDE,nass_domaincat
COPPER OXYCHLORIDE S,FUNGICIDE,manual
COPPER SULF TRIBASIC,UNCLASSIFIED,none
COPPER SULFATE,FUNGICIDE,nass_domaincat
CPPU,UNCLASSIFIED,none
CRYOLITE,INSECTICIDE,nass_domaincat
CUPROUS OXIDE,FUNGICIDE,manual
CYANAMIDE,UNCLASSIFIED,none
CYANAZINE,HERBICIDE,nass_domaincat
CYANTRANILIPROLE,INSECTICIDE,nass_domaincat
CYAZOFAMID,FUNGICIDE,nass_domaincat
CYCLANILIDE,OTHER,nass_domaincat
CYCLANILIPROLE,INSECTICIDE,nass_domaincat
CYCLOATE,HERBICIDE,nass_domaincat
CYDIA POMONELLA,UNCLASSIFIED,none
CYFLUFENAMID,FUNGICIDE,nass_domaincat
CYFLUMETOFEN,INSECTICIDE,nass_domaincat
CYFLUTHRIN,INSECTICIDE,nass_domaincat
CYHALOFOP,HERBICIDE,manual
CYHALOTHRIN-GAMMA,UNCLASSIFIED,none
CYHALOTHRIN-LAMBDA,INSECTICIDE,manual
CYMOXANIL,FUNGICIDE,nass_domaincat
CYPERMETHRIN,INSECTICIDE,nass_domaincat
CYPROCONAZOLE,FUNGICIDE,nass_domaincat
CYPRODINIL,FUNGICIDE,nass_domaincat
CYROMAZINE,INSECTICIDE,nass_domaincat
CYTOKININ,UNCLASSIFIED,none
DALAPON,UNCLASSIFIED,none
DAMINOZIDE,OTHER,nass_domaincat
DAZOMET,OTHER,nass_domaincat
DCPA,HERBICIDE,nass_domaincat
DECAN-1-OL,OTHER,manual
DELTAMETHRIN,INSECTICIDE,nass_domaincat
DEMETON,UNCLASSIFIED,none
DESMEDIPHAM,HERBICIDE,nass_domaincat
DI-ALLATE,HERBICIDE,nass_domaincat
DIAZINON,INSECTICIDE,nass_domaincat
DICAMBA,HERBICIDE,nass_domaincat
DICHLOBENIL,HERBICIDE,nass_domaincat
DICHLONE,UNCLASSIFIED,none
DICHLOROPROPENE,OTHER,nass_domaincat
DICHLORPROP,HERBICIDE,nass_domaincat
DICLOFOP,HERBICIDE,manual
