year,metric,value,unit,source
2012,constill_pct_cropland,19.666843536982668,percent of cropland acres,USDA Census of Agriculture
2017,constill_pct_cropland,24.658303557387992,percent of cropland acres,USDA Census of Agriculture
2022,constill_pct_cropland,25.385005113685178,percent of cropland acres,USDA Census of Agriculture
2012,cover_crop_pct_cropland,2.6381949954765886,percent of cropland acres,USDA Census of Agriculture
2017,cover_crop_pct_cropland,3.8822808095607044,percent of cropland acres,USDA Census of Agriculture
2022,cover_crop_pct_cropland,4.703944631755168,percent of cropland acres,USDA Census of Agriculture
1992,eff_compounds_county_median,9.040828969403378,effective number of compounds,"USGS PNSP (corrected, no CA)"
1993,eff_compounds_county_median,9.653984572089378,effective number of compounds,"USGS PNSP (corrected, no CA)"
1994,eff_compounds_county_median,9.773775847005341,effective number of compounds,"USGS PNSP (corrected, no CA)"
1995,eff_compounds_county_median,10.53798042951009,effective number of compounds,"USGS PNSP (corrected, no CA)"
1996,eff_compounds_county_median,9.479524821373623,effective number of compounds,"USGS PNSP (corrected, no CA)"
1997,eff_compounds_county_median,9.558074188282237,effective number of compounds,"USGS PNSP (corrected, no CA)"
1998,eff_compounds_county_median,9.01238084586056,effective number of compounds,"USGS PNSP (corrected, no CA)"
1999,eff_compounds_county_median,9.412078528386475,effective number of compounds,"USGS PNSP (corrected, no CA)"
2000,eff_compounds_county_median,8.600845406543689,effective number of compounds,"USGS PNSP (corrected, no CA)"
2001,eff_compounds_county_median,7.8236542989325955,effective number of compounds,"USGS PNSP (corrected, no CA)"
2002,eff_compounds_county_median,7.360851114360677,effective number of compounds,"USGS PNSP (corrected, no CA)"
2003,eff_compounds_county_median,7.015715057284901,effective number of compounds,"USGS PNSP (corrected, no CA)"
2004,eff_compounds_county_median,6.6447605952831115,effective number of compounds,"USGS PNSP (corrected, no CA)"
2005,eff_compounds_county_median,6.363966804143367,effective number of compounds,"USGS PNSP (corrected, no CA)"
2006,eff_compounds_county_median,5.9190494943893714,effective number of compounds,"USGS PNSP (corrected, no CA)"
2007,eff_compounds_county_median,5.744281250784793,effective number of compounds,"USGS PNSP (corrected, no CA)"
2008,eff_compounds_county_median,5.3099830799380445,effective number of compounds,"USGS PNSP (corrected, no CA)"
2009,eff_compounds_county_median,5.456754506934967,effective number of compounds,"USGS PNSP (corrected, no CA)"
2010,eff_compounds_county_median,5.123629104459777,effective number of compounds,"USGS PNSP (corrected, no CA)"
2011,eff_compounds_county_median,5.228635089044634,effective number of compounds,"USGS PNSP (corrected, no CA)"
2012,eff_compounds_county_median,4.841320347692225,effective number of compounds,"USGS PNSP (corrected, no CA)"
2013,eff_compounds_county_median,5.037493555693495,effective number of compounds,"USGS PNSP (corrected, no CA)"
2014,eff_compounds_county_median,5.281051850771337,effective number of compounds,"USGS PNSP (corrected, no CA)"
2015,eff_compounds_county_median,5.18119904559508,effective number of compounds,"USGS PNSP (corrected, no CA)"
2016,eff_compounds_county_median,5.31239544831856,effective number of compounds,"USGS PNSP (corrected, no CA)"
2017,eff_compounds_county_median,6.056316078688199,effective number of compounds,"USGS PNSP (corrected, no CA)"
2018,eff_compounds_county_median,5.418476107916729,effective number of compounds,"USGS PNSP (corrected, no CA)"
1992,eff_compounds_national,23.801735583009442,effective number of compounds,"USGS PNSP (corrected, no CA)"
1993,eff_compounds_national,26.15298421320068,effective number of compounds,"USGS PNSP (corrected, no CA)"
1994,eff_compounds_national,26.37382015673999,effective number of compounds,"USGS PNSP (corrected, no CA)"
1995,eff_compounds_national,26.84401972585383,effective number of compounds,"USGS PNSP (corrected, no CA)"
1996,eff_compounds_national,26.574981377637712,effective number of compounds,"USGS PNSP (corrected, no CA)"
1997,eff_compounds_national,24.96629257537173,effective number of compounds,"USGS PNSP (corrected, no CA)"
1998,eff_compounds_national,25.54046615046801,effective number of compounds,"USGS PNSP (corrected, no CA)"
1999,eff_compounds_national,22.842669555536236,effective number of compounds,"USGS PNSP (corrected, no CA)"
2000,eff_compounds_national,23.170407008809462,effective number of compounds,"USGS PNSP (corrected, no CA)"
2001,eff_compounds_national,21.434115737602696,effective number of compounds,"USGS PNSP (corrected, no CA)"
2002,eff_compounds_national,18.299006666641027,effective number of compounds,"USGS PNSP (corrected, no CA)"
2003,eff_compounds_national,16.70687019617847,effective number of compounds,"USGS PNSP (corrected, no CA)"
2004,eff_compounds_national,16.376783799606194,effective number of compounds,"USGS PNSP (corrected, no CA)"
2005,eff_compounds_national,14.241395953339097,effective number of compounds,"USGS PNSP (corrected, no CA)"
2006,eff_compounds_national,13.486659323836651,effective number of compounds,"USGS PNSP (corrected, no CA)"
2007,eff_compounds_national,12.851924111672744,effective number of compounds,"USGS PNSP (corrected, no CA)"
2008,eff_compounds_national,9.925248279491207,effective number of compounds,"USGS PNSP (corrected, no CA)"
2009,eff_compounds_national,10.216554800348234,effective number of compounds,"USGS PNSP (corrected, no CA)"
2010,eff_compounds_national,9.41494619721682,effective number of compounds,"USGS PNSP (corrected, no CA)"
2011,eff_compounds_national,9.304568255919882,effective number of compounds,"USGS PNSP (corrected, no CA)"
2012,eff_compounds_national,8.765042013119084,effective number of compounds,"USGS PNSP (corrected, no CA)"
