outcome,outcome_order,year,direct_available,spatial_support,n_spatial_units,measurement_basis,source,proxy_available,proxy_spatial_support,proxy_n_spatial_units,proxy_source,proxy_measurement_basis
Yield,1,1982,1,county,2945,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,1982,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,1982,1,state,50,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,1982,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,1982,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,1982,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,1982,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,1982,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,1983,1,county,2948,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,1983,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,1983,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,1983,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,1983,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,1983,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,1983,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,1983,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,1984,1,county,2947,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
