state_fips,county_fips,census_year,pnsp_year,harvested_cropland_acres,group_acres,coverage,n_crop_groups,n_suppressed_crop_records,shannon_H,effective_n_crops,top1_share,top3_share,dominant_crop,stratum,high_input_acres,high_input_share,total_kg_high,insecticide_kg_high,neonic_kg_high,insecticide_kg_low,insecticide_g_per_acre_high,insecticide_g_per_acre_low,total_g_per_acre_high
1,1,2017,2018,27557.0,27499.0,0.997895,9,3,1.249092,3.487174,0.509255,0.88996,Hay & haylage,Hay & small grains,11100.0,0.403651,30146.4,3214.8,79.1,2010.9,116.660014,72.972385,1093.965236
1,3,2017,2018,94301.0,88363.0,0.937031,10,2,1.77422,5.895683,0.408406,0.679742,Peanuts,Southern row crops,52319.0,0.592092,237501.1,11693.5,3093.0,9474.8,124.001866,100.474014,2518.542751
1,5,2017,2018,25231.0,24890.0,0.986485,10,3,1.480978,4.397243,0.437043,0.859743,Hay & haylage,Hay & small grains,11103.0,0.446083,61868.5,3764.8,120.6,2665.0,149.213269,105.624034,2452.082755
1,7,2017,2018,10812.0,10259.0,0.948853,6,2,0.737617,2.090946,0.756117,0.994931,Hay & haylage,Hay & small grains,52.0,0.005069,5496.4,47.4,0.0,0.8,4.384018,0.073992,508.36108
1,9,2017,2018,31091.0,30999.0,0.997041,8,2,0.819162,2.268598,0.790929,0.944643,Hay & haylage,Hay & small grains,3774.0,0.121746,35680.4,609.5,19.4,203.8,19.603744,6.554952,1147.611849
1,13,2017,2018,14280.0,14198.0,0.994258,6,2,1.082946,2.953366,0.605578,0.951049,Hay & haylage,Hay & small grains,2586.0,0.182138,10666.1,429.5,17.3,147.1,30.077031,10.30112,746.92577
1,15,2017,2018,23251.0,23053.0,0.991484,8,0,1.071919,2.920978,0.598881,0.960352,Hay & haylage,Hay & small grains,5974.0,0.259142,30772.3,910.3,20.6,125.7,39.151004,5.406219,1323.482861
1,19,2017,2018,51669.0,50705.0,0.981343,8,2,1.21395,3.366758,0.572606,0.887092,Cotton,Southern row crops,29121.0,0.574322,103595.3,4389.3,106.6,507.1,84.950357,9.814395,2004.979775
1,21,2017,2018,16172.0,15101.0,0.933774,7,5,0.88226,2.416354,0.764982,0.92133,Hay & haylage,Hay & small grains,1969.0,0.130389,20695.6,1407.3,3.7,2545.2,87.020777,157.383131,1279.718031
1,27,2017,2018,10235.0,10040.0,0.980948,4,2,0.047308,1.048445,0.993327,0.998108,Hay & haylage,Hay & small grains,67.0,0.006673,15421.9,12.5,0.0,9.0,1.221299,0.879336,1506.780655
1,31,2017,2018,44949.0,44755.0,0.995684,9,2,1.427262,4.167275,0.38322,0.896391,Hay & haylage,Hay & small grains,23449.0,0.523941,133618.7,10191.8,284.9,6029.7,226.741418,134.145365,2972.673474
1,33,2017,2018,78341.0,86207.0,1.100407,7,2,1.498483,4.474897,0.313733,0.800492,Soybeans,Corn / soybean,5248.0,0.060877,121426.1,2032.3,36.3,758.6,25.941716,9.683308,1549.968726
1,35,2017,2018,21575.0,22134.0,1.02591,8,3,1.206136,3.340551,0.511792,0.908015,Cotton,Southern row crops,12314.0,0.556339,38478.9,1838.2,126.6,1602.6,85.200463,74.280417,1783.494786
1,39,2017,2018,42276.0,41696.0,0.986281,10,3,1.526083,4.600123,0.361354,0.851113,Hay & haylage,Hay & small grains,21806.0,0.522976,127060.1,8286.4,318.2,5407.7,196.007191,127.914183,3005.490113
1,41,2017,2018,15947.0,14472.0,0.907506,7,4,0.613789,1.847417,0.836581,0.978027,Hay & haylage,Hay & small grains,772.0,0.053344,30466.3,2006.4,20.4,1486.4,125.816768,93.208754,1910.472189
1,43,2017,2018,48864.0,48542.0,0.99341,7,1,1.009478,2.744167,0.658914,0.95612,Hay & haylage,Hay & small grains,1467.0,0.030221,42408.2,454.5,6.6,138.5,9.301326,2.834398,867.882286
1,45,2017,2018,34404.0,35203.0,1.023224,10,1,1.495872,4.463228,0.373406,0.870863,Peanuts,Southern row crops,24203.0,0.687527,92970.9,7131.4,231.8,3631.7,207.284037,105.5604,2702.328218
1,47,2017,2018,54831.0,53982.0,0.984516,7,4,1.497973,4.472613,0.314197,0.833055,Hay & haylage,Hay & small grains,16884.0,0.312771,63614.5,6905.4,179.7,3554.5,125.939706,64.826467,1160.192227
1,49,2017,2018,72653.0,72944.0,1.004005,9,4,1.183854,3.266942,0.552616,0.951278,Hay & haylage,Hay & small grains,2582.0,0.035397,78055.0,593.2,9.8,173.3,8.164838,2.385311,1074.353433
1,51,2017,2018,27354.0,26635.0,0.973715,7,3,1.07513,2.930373,0.517928,0.964333,Cotton,Southern row crops,14019.0,0.526338,35346.0,4314.8,94.6,2432.9,157.73927,88.941288,1292.169335
1,53,2017,2018,46422.0,46151.0,0.994162,8,3,1.381018,3.978952,0.424953,0.869515,Cotton,Southern row crops,34708.0,0.752053,215720.5,10335.6,2255.2,9271.0,222.644436,199.711344,4646.945414
1,55,2017,2018,18307.0,18234.0,0.996012,7,1,1.057793,2.880009,0.670122,0.915378,Hay & haylage,Hay & small grains,2550.0,0.139849,34363.0,1142.3,27.4,140.3,62.396897,7.663735,1877.041569
1,57,2017,2018,16734.0,16313.0,0.974842,8,2,1.259561,3.523876,0.464967,0.894685,Hay & haylage,Hay & small grains,7082.0,0.434132,50416.3,7876.6,40.1,7401.7,470.694395,442.315047,3012.806263
1,59,2017,2018,25285.0,25208.0,0.996955,8,2,1.048236,2.852615,0.698032,0.903562,Hay & haylage,Hay & small grains,4012.0,0.159156,20314.6,215.4,2.1,74.1,8.518885,2.930591,803.424956
1,61,2017,2018,62014.0,62334.0,1.00516,11,6,1.497066,4.468561,0.36144,0.868338,Cotton,Southern row crops,44376.0,0.711907,204348.4,16219.4,477.2,8780.4,261.544167,141.587383,3295.197859
1,63,2017,2018,11761.0,11719.0,0.996429,5,3,0.07938,1.082615,0.987968,0.997099,Hay & haylage,Hay & small grains,95.0,0.008106,9503.5,408.4,0.0,28.7,34.724938,2.440269,808.052036
1,65,2017,2018,15492.0,14151.0,0.913439,3,4,0.035268,1.035897,0.9947,1.0,Hay & haylage,Hay & small grains,75.0,0.0053,20030.9,795.5,6.0,229.1,51.349083,14.788278,1292.983475
1,67,2017,2018,54457.0,54334.0,0.997741,10,3,1.45237,4.27323,0.365811,0.870652,Cotton,Southern row crops,37248.0,0.685538,147191.4,11342.7,362.0,6332.6,208.287273,116.286244,2702.89219
1,69,2017,2018,70835.0,72713.0,1.026512,10,3,1.541113,4.669786,0.366111,0.835985,Peanuts,Southern row crops,51627.0,0.710011,214400.1,17504.1,572.4,6891.3,247.110892,97.286652,3026.753723
1,71,2017,2018,80891.0,82540.0,1.020385,9,4,1.376984,3.96293,0.355488,0.910431,Hay & haylage,Hay & small grains,4458.0,0.05401,130391.1,1587.2,18.3,340.1,19.621466,4.204423,1611.935815
1,77,2017,2018,86818.0,89685.0,1.033023,9,3,1.551242,4.717327,0.288867,0.7397,Soybeans,Corn / soybean,18477.0,0.206021,187812.3,3948.8,90.9,1519.4,45.483655,17.500979,2163.287567
1,79,2017,2018,108544.0,117656.0,1.083948,9,2,1.660017,5.259401,0.312589,0.68872,Soybeans,Corn / soybean,23275.0,0.197822,173266.1,2991.5,56.8,1117.9,27.560252,10.299049,1596.275243
1,83,2017,2018,135653.0,148665.0,1.095921,11,2,1.530985,4.62273,0.394706,0.746773,Soybeans,Corn / soybean,28342.0,0.190643,240060.8,4277.4,82.6,1674.9,31.531923,12.346944,1769.668198
1,85,2017,2018,34458.0,31413.0,0.911632,6,3,0.791725,2.207201,0.764174,0.961576,Hay & haylage,Hay & small grains,4146.0,0.131984,30143.0,615.7,27.1,201.0,17.868129,5.833188,874.775089
1,87,2017,2018,26305.0,23030.0,0.875499,8,7,1.008554,2.741635,0.537386,0.949674,Cotton,Southern row crops,13566.0,0.589058,17973.1,1759.9,41.7,1049.1,66.90363,39.882152,683.257936
