series,enc_bin,enc_median,n_counties,harvested_acres,insecticide_g_per_acre_p25,insecticide_g_per_acre_median,insecticide_g_per_acre_p75,high_input_share_median,series_spearman_rho,series_spearman_p,series_n_counties
All counties,1.0-1.5,1.15,284,9185617.0,2.85,7.71,18.99,0.0055,0.413,3.7515893772224246e-100,2416
All counties,1.5-2.0,1.755,174,7635869.0,6.35,14.42,29.1,0.0129,0.413,3.7515893772224246e-100,2416
All counties,2.0-2.5,2.269,402,71758865.0,12.89,17.61,32.44,0.0008,0.413,3.7515893772224246e-100,2416
All counties,2.5-3.0,2.728,411,53377960.0,12.91,18.46,37.4,0.0034,0.413,3.7515893772224246e-100,2416
All counties,3.0-3.5,3.243,410,55877704.0,12.86,23.37,42.16,0.0072,0.413,3.7515893772224246e-100,2416
All counties,3.5-4.0,3.741,273,35081514.0,17.14,36.0,72.53,0.0346,0.413,3.7515893772224246e-100,2416
All counties,4.0-5.0,4.36,325,47745998.0,19.42,42.85,111.61,0.067,0.413,3.7515893772224246e-100,2416
All counties,5.0-6.0,5.441,109,17742622.0,18.91,66.82,178.43,0.2011,0.413,3.7515893772224246e-100,2416
All counties,6.0+,6.318,28,5067920.0,29.45,115.96,164.97,0.2827,0.413,3.7515893772224246e-100,2416
Corn / soybean dominant,2.0-2.5,2.293,262,64239620.0,14.33,17.61,31.4,0.0002,0.292,3.2887938492958763e-22,1060
Corn / soybean dominant,2.5-3.0,2.712,233,41311287.0,13.78,17.5,31.44,0.0009,0.292,3.2887938492958763e-22,1060
Corn / soybean dominant,3.0-3.5,3.208,223,37827623.0,13.66,23.47,37.33,0.0029,0.292,3.2887938492958763e-22,1060
Corn / soybean dominant,3.5-4.0,3.744,134,19593276.0,16.94,33.18,60.59,0.0175,0.292,3.2887938492958763e-22,1060
Corn / soybean dominant,4.0-5.0,4.381,153,23591099.0,18.9,35.81,86.54,0.0519,0.292,3.2887938492958763e-22,1060
Corn / soybean dominant,5.0-6.0,5.462,45,7156867.0,23.11,66.82,157.19,0.1824,0.292,3.2887938492958763e-22,1060
No high-input crop grown,1.0-1.5,1.059,32,1634081.0,4.56,15.78,34.36,0.0,0.057,0.3562941610697067,263
No high-input crop grown,2.0-2.5,2.306,39,6366332.0,12.59,16.07,26.12,0.0,0.057,0.3562941610697067,263
No high-input crop grown,2.5-3.0,2.726,34,5120501.0,14.54,23.41,35.55,0.0,0.057,0.3562941610697067,263
No high-input crop grown,3.0-3.5,3.232,47,10535935.0,15.96,23.79,39.41,0.0,0.057,0.3562941610697067,263
No high-input crop grown,3.5-4.0,3.742,34,7535697.0,12.15,27.87,49.64,0.0,0.057,0.3562941610697067,263
No high-input crop grown,4.0-5.0,4.366,43,12060117.0,14.6,20.77,34.27,0.0,0.057,0.3562941610697067,263
No high-input crop grown,5.0-6.0,5.578,16,4696476.0,8.18,17.19,19.62,0.0,0.057,0.3562941610697067,263
