year,land_use,water_erosion_t_per_ac_yr,wind_erosion_t_per_ac_yr,total_erosion_t_per_ac_yr,total_erosion_Mg_per_ha_yr,acres_thousands,acres_above_T_water_thousands,pct_acres_above_T_water,acres_above_T_wind_thousands,pct_acres_above_T_wind,acres_above_5T_water_thousands,national_soc_stock_measurements_this_year
1982,Cultivated cropland,4.27,3.56,7.83,17.55,375721.7,95505.9,25.42,80428.7,21.41,12491.8,0
1987,Cultivated cropland,3.9,3.51,7.41,16.61,362271.1,84406.1,23.3,79402.0,21.92,9983.7,0
1992,Cultivated cropland,3.36,2.98,6.34,14.21,335467.3,68175.0,20.32,62498.4,18.63,6199.9,0
1997,Cultivated cropland,3.02,2.59,5.61,12.58,326275.3,59923.6,18.37,52454.5,16.08,4161.8,0
2002,Cultivated cropland,3.09,2.37,5.46,12.24,314150.2,58075.2,18.49,48314.0,15.38,4447.9,0
2007,Cultivated cropland,2.93,2.33,5.26,11.79,304881.2,52900.5,17.35,46316.4,15.19,4003.0,0
2012,Cultivated cropland,2.96,2.27,5.23,11.72,309496.7,54947.0,17.75,44384.8,14.34,4275.7,0
2017,Cultivated cropland,2.99,2.31,5.3,11.88,314775.9,56859.4,18.06,45751.8,14.53,4558.7,0
2022,Cultivated cropland,3.01,2.33,5.34,11.97,313174.2,56512.0,18.04,45647.4,14.58,4609.6,0
1982,Total cropland,3.89,3.24,7.13,15.98,419946.1,97175.1,23.14,81393.1,19.38,12656.0,0
1987,Total cropland,3.56,3.2,6.76,15.15,405618.3,86194.4,21.25,80567.6,19.86,10220.4,0
1992,Total cropland,3.03,2.67,5.7,12.78,382112.3,69721.5,18.25,63320.8,16.57,6360.2,0
1997,Total cropland,2.72,2.29,5.01,11.23,375997.9,61696.3,16.41,53067.4,14.11,4387.8,0
2002,Total cropland,2.76,2.08,4.84,10.85,367114.9,60118.6,16.38,49157.3,13.39,4713.1,0
2007,Total cropland,2.61,2.05,4.66,10.45,357737.4,54780.8,15.31,47290.1,13.22,4263.8,0
2012,Total cropland,2.64,2.02,4.66,10.45,360557.0,56668.4,15.72,45552.9,12.63,4490.7,0
2017,Total cropland,2.67,2.06,4.73,10.6,364992.9,58438.9,16.01,46919.6,12.85,4746.4,0
2022,Total cropland,2.67,2.08,4.75,10.65,364294.8,57975.1,15.91,46842.6,12.86,4760.2,0
