bin,counties,eff_crops_min,eff_crops_max,eff_crops_median,acres,cov_recent,cov_ever,cov_recent_us,hay_share,median_county_cov,decile
0,296.0,1.0,1.6158138720712474,1.296934224881055,6070263.0,0.05787624028810613,0.06030496536970474,0.06739230244225003,0.9046955626140086,0.0,1
1,295.0,1.6167592230619934,2.105087931180894,1.8646103713761302,12656803.0,0.5429461136433901,0.5500361347174322,0.5689494416560011,0.4178585224088579,0.02300978020822379,2
2,295.0,2.1055369760859084,2.3820909563890975,2.226791413906288,42387701.0,0.9204853313464677,0.9233245983310111,0.9267283686841143,0.07060477283257235,0.959072341721451,3
3,295.0,2.38271321845945,2.7026743332889813,2.544457847333646,36911309.0,0.8838864804279902,0.8921441935315814,0.8955222639218783,0.09784770840828214,0.9197015572974145,4
4,295.0,2.7082037758874056,3.090728538509879,2.8896874106703794,31709766.0,0.7844294089082839,0.8026232675447684,0.8190180274430281,0.16358020428154532,0.7040021385473154,5
5,295.0,3.091854315881165,3.480035743201022,3.2785957230066463,32637203.0,0.7664901002699281,0.7883701614994397,0.8125442305825042,0.16286239356969406,0.7218228485450451,6
6,295.0,3.484710538546302,3.92182423878156,3.682193540015628,32037080.0,0.7082611773607332,0.7392997738870084,0.7728017659537012,0.19141366816201727,0.6268820347902353,7
7,295.0,3.92206128003725,4.404709655754172,4.144155157064665,34884521.0,0.6916658824124315,0.729583731420592,0.7508482630448043,0.20694201304928336,0.6212107537314274,8
8,295.0,4.405206508119846,5.104554534820708,4.691944759358356,32810759.0,0.6423795621430154,0.7114605608483485,0.7410227846298831,0.19440677980049167,0.5796389134637439,9
9,295.0,5.106896672487706,24.056769892225912,5.974690961376583,39995779.0,0.5887178494510633,0.6819237600047745,0.6702227252530824,0.19042824494054736,0.5575722348264677,10
