STATE_ALPHA,acres,ops,acres_ever,acres_recent,acres_recent_us,n_crops,cov_ever,cov_recent,cov_recent_us
IL,21902634.0,101595.0,21283482.0,21280889.0,21308998.0,109,0.9717316191285487,0.9716132315410101,0.9728965931677441
IA,23534915.0,121122.0,22423901.0,22423901.0,22453462.0,101,0.9527929461398097,0.9527929461398097,0.9540489948657134
IN,12050462.0,70357.0,11434177.0,11164607.0,11450098.0,98,0.9488579773953895,0.9264878807136191,0.9501791715537545
OH,9868871.0,105059.0,8798736.0,8795048.0,8819077.0,104,0.8915645974093693,0.8911908971147764,0.8936257247662879
MN,19705293.0,101167.0,17741257.0,17294630.0,17518886.0,106,0.9003295206013937,0.8776641890074915,0.8890446845931192
KS,21523070.0,76251.0,18831359.0,18791432.0,18948502.0,104,0.8749383336113296,0.8730832543870368,0.8803810051261275
NE,18019257.0,62574.0,15330757.0,15290526.0,15443460.0,100,0.850798509616684,0.8485658426426794,0.8570530960294311
MI,6949775.0,70665.0,5895702.0,5683177.0,5727365.0,109,0.8483299099611139,0.8177497832663647,0.824107974718606
NC,4635084.0,50857.0,3783625.0,3661737.0,3707932.0,113,0.8163012795453114,0.7900044529937321,0.7999708311650878
SD,15301151.0,41287.0,12318612.0,11729391.0,11749006.0,95,0.8050774742370689,0.7665691946965297,0.7678511244023407
MO,13067022.0,87056.0,9850786.0,9850786.0,9891515.0,110,0.7538661831287955,0.7538661831287955,0.7569831136734904
ND,21855822.0,42773.0,16397732.0,15483097.0,16280005.0,88,0.7502683724272644,0.708419797708821,0.7448818442975972
WI,8892720.0,105126.0,6303879.0,6293135.0,6551714.0,109,0.7088808598494049,0.7076726805746724,0.7367502856268948
MS,4380022.0,22852.0,3127619.0,3042670.0,3755026.0,98,0.714064678213945,0.694670026771555,0.8573075660350564
GA,3655254.0,36851.0,2947721.0,2506157.0,2822371.0,116,0.8064339714832403,0.6856314226042841,0.7721408690066408
AR,7295433.0,29873.0,5155588.0,4991232.0,5936766.0,90,0.7066870465399381,0.6841584317202283,0.8137647210247836
WA,4655930.0,37478.0,3213486.0,3176280.0,3435463.0,117,0.6901920776300331,0.6822009781074887,0.7378682669198205
KY,5711837.0,68913.0,3826928.0,3826928.0,3839568.0,104,0.6699995115406829,0.6699995115406829,0.6722124598443548
CO,5125563.0,27248.0,3235291.0,3215713.0,3286410.0,104,0.6312069522899241,0.6273872743345462,0.6411802957060522
TX,12652939.0,105713.0,7987282.0,7732025.0,7899623.0,133,0.6312590300166625,0.6110852980481452,0.6243310743851685
MT,10513913.0,23818.0,6053479.0,6021638.0,6669242.0,103,0.5757589015621492,0.5727304382298009,0.6343253934096659
LA,3337155.0,17844.0,1927402.0,1901567.0,2409584.0,96,0.5775584292608524,0.5698168050330297,0.7220473726872141
PA,3946729.0,90615.0,2328335.0,2088621.0,2318971.0,111,0.5899404291503166,0.5292030438370611,0.5875678314877966
TN,4670882.0,56763.0,3087835.0,2252555.0,3100460.0,110,0.6610817828410137,0.48225474332256735,0.6637846984787884
OK,6795282.0,42230.0,3503457.0,3102782.0,3806938.0,99,0.5155719806771816,0.45660827615395505,0.5602325260379186
ID,4425757.0,23067.0,2191786.0,2013428.0,2502920.0,106,0.4952341486439495,0.45493415024819484,0.5655348904153572
CA,7497012.0,79877.0,4685282.0,2855693.0,3452937.0,143,0.6249532480406861,0.3809108215379674,0.4605750931170979
FL,1835892.0,30407.0,738795.0,688123.0,889150.0,129,0.40241746246511234,0.37481671035115355,0.484314981491286
NY,3639407.0,58852.0,1359171.0,1324577.0,1821058.0,115,0.3734594674352168,0.363954072737674,0.5003721760165873
OR,2713480.0,36504.0,1097016.0,937878.0,1077200.0,115,0.4042837979273848,0.34563659949585035,0.3969809985701019
AZ,980459.0,8098.0,385472.0,317757.0,476354.0,104,0.393154634717005,0.3240900435408314,0.48584795488643584
AL,2343661.0,29858.0,1015510.0,606817.0,1496998.0,107,0.4333007205393613,0.25891841866208465,0.6387434018827808
VA,2581250.0,42535.0,1099103.0,621621.0,1404925.0,110,0.42580261501210653,0.24082169491525424,0.5442808716707022
SC,1632243.0,22494.0,1146303.0,368963.0,1288882.0,105,0.7022869756525223,0.2260466119321694,0.7896385525929657
NM,786243.0,15682.0,170323.0,170323.0,365426.0,111,0.21662895567909668,0.21662895567909668,0.4647748851182141
ME,325677.0,14321.0,54176.0,54176.0,149893.0,94,0.16634886712908803,0.16634886712908803,0.4602504935872045
NJ,373725.0,15685.0,148881.0,31584.0,250853.0,107,0.39837045956251255,0.08451133855107365,0.6712234932102482
WY,1378668.0,7635.0,86656.0,61336.0,273982.0,77,0.06285487151366391,0.044489318675707275,0.19872949832737105
RI,9542.0,2320.0,0.0,0.0,3432.0,78,0.0,0.0,0.35967302452316074
NV,479821.0,2471.0,0.0,0.0,25427.0,85,0.0,0.0,0.052992678519697974
NH,85983.0,6637.0,0.0,0.0,18517.0,89,0.0,0.0,0.2153565239640394
MD,1385503.0,18775.0,536885.0,0.0,1185174.0,106,0.3875018675527949,0.0,0.8554106342606259
MA,129179.0,17242.0,0.0,0.0,34847.0,101,0.0,0.0,0.26975746831915404
UT,862243.0,15267.0,14635.0,0.0,199430.0,101,0.016973173455742754,0.0,0.2312921067494894
HI,37765.0,12120.0,0.0,0.0,5017.0,106,0.0,0.0,0.1328478750165497
VT,394451.0,10387.0,0.0,0.0,100442.0,92,0.0,0.0,0.2546374581380197
DE,460918.0,3154.0,374169.0,0.0,451328.0,75,0.8117908174555994,0.0,0.979193696058735
CT,119550.0,10419.0,0.0,0.0,35391.0,98,0.0,0.0,0.29603513174404017
WV,700393.0,24311.0,43915.0,0.0,80387.0,104,0.06270051242659479,0.0,0.11477413395051064
AK,36648.0,2376.0,0.0,0.0,6187.0,69,0.0,0.0,0.1688223095394019
