year,state_alpha,black_operations,black_acres,state_operations,state_acres,pct_of_state_farms,pct_of_state_farmland,black_acres_per_operation,state_acres_per_operation
2022,TX,7235,855704,230662,125471325,3.137,0.682,118.3,544.0
2022,MS,4312,741466,31290,10251497,13.781,7.233,172.0,327.6
2022,AL,2459,396248,37362,8629101,6.582,4.592,161.1,231.0
2022,GA,1743,323899,39264,9939313,4.439,3.259,185.8,253.1
2022,AR,917,267082,37756,13722525,2.429,1.946,291.3,363.5
2022,LA,1900,226135,25006,7986381,7.598,2.832,119.0,319.4
2022,OK,953,221523,70378,32897563,1.354,0.673,232.4,467.4
2022,NC,1262,197898,42817,8128136,2.947,2.435,156.8,189.8
2022,SC,1623,178041,22633,4553922,7.171,3.91,109.7,201.2
2022,VA,1079,148733,38995,7309687,2.767,2.035,137.8,187.5
2022,FL,1388,111298,44703,9701400,3.105,1.147,80.2,217.0
2022,MT,26,98602,24266,57601320,0.107,0.171,3792.4,2373.7
2022,TN,815,95387,63105,10732951,1.291,0.889,117.0,170.1
2022,KS,123,63933,55734,44794702,0.221,0.143,519.8,803.7
2022,NM,78,49350,20976,39128563,0.372,0.126,632.7,1865.4
2022,CA,364,46029,63134,24190604,0.577,0.19,126.5,383.2
2022,IL,120,40597,71123,26292041,0.169,0.154,338.3,369.7
2022,MO,173,30829,87887,27026243,0.197,0.114,178.2,307.5
2022,WA,97,25066,32076,13855414,0.302,0.181,258.4,432.0
2022,KY,312,24044,69425,12431190,0.449,0.193,77.1,179.1
2022,MI,248,19279,45581,9472069,0.544,0.204,77.7,207.8
2022,OH,159,14611,76009,13652346,0.209,0.107,91.9,179.6
2022,IN,80,11960,53599,14602240,0.149,0.082,149.5,272.4
2022,SD,10,10520,28299,42304601,0.035,0.025,1052.0,1494.9
2022,CO,72,10221,36056,30213899,0.2,0.034,142.0,838.0
2022,WY,6,9352,10544,28776321,0.057,0.032,1558.7,2729.2
2022,OR,65,8939,35547,15295779,0.183,0.058,137.5,430.3
2022,MD,185,8837,12550,1978036,1.474,0.447,47.8,157.6
2022,IA,38,7462,86911,29978165,0.044,0.025,196.4,344.9
2022,WI,90,7132,58521,13784678,0.154,0.052,79.2,235.6
2022,ND,13,6825,25068,38537022,0.052,0.018,525.0,1537.3
2022,ID,17,6449,22877,11547963,0.074,0.056,379.4,504.8
2022,MN,46,5943,65531,25442625,0.07,0.023,129.2,388.3
2022,NY,107,4670,30650,6502286,0.349,0.072,43.6,212.1
2022,PA,81,4273,49053,7058325,0.165,0.061,52.8,143.9
2022,VT,18,3152,6537,1173890,0.275,0.269,175.1,179.6
2022,WV,37,2936,22787,3549104,0.162,0.083,79.4,155.8
2022,ME,108,2238,7036,1225046,1.535,0.183,20.7,174.1
2022,UT,17,2017,17386,10494923,0.098,0.019,118.6,603.6
2022,NJ,61,1403,9998,711502,0.61,0.197,23.0,71.2
2022,DE,19,1401,2158,522834,0.88,0.268,73.7,242.3
2022,AZ,33,1062,16710,25525087,0.197,0.004,32.2,1527.5
2022,CT,16,331,5058,372014,0.316,0.089,20.7,73.5
2022,AK,8,303,1173,869852,0.682,0.035,37.9,741.6
2022,NH,16,278,3949,417187,0.405,0.067,17.4,105.6
2022,NV,10,270,3122,5896654,0.32,0.005,27.0,1888.7
2022,HI,19,135,6569,1053302,0.289,0.013,7.1,160.3
2022,RI,17,90,1054,59076,1.613,0.152,5.3,56.0
