year,producer_group,concept_era,operations,people,acres_operated,us_total_operations,us_total_acres,share_of_operations_pct,share_of_acres_pct,acres_per_operation,us_acres_per_operation,scale_vs_us_avg,acres_share_over_ops_share
2002,White,operator (<=3 per farm),2077656,2966230,883755206,2128982,938279056,97.5892,94.189,425.4,440.7,0.965,0.965
2002,American Indian or Alaska Native,operator (<=3 per farm),21093,24423,54412147,2128982,938279056,0.9908,5.7991,2579.6,440.7,5.853,5.853
2002,Hispanic (any race),operator (<=3 per farm),61094,72349,28025352,2128982,938279056,2.8696,2.9869,458.7,440.7,1.041,1.041
2002,Black or African American,operator (<=3 per farm),30605,36370,3836339,2128982,938279056,1.4375,0.4089,125.4,440.7,0.284,0.284
2002,Multi-race,operator (<=3 per farm),10467,12005,3019215,2128982,938279056,0.4916,0.3218,288.5,440.7,0.655,0.655
2002,Asian,operator (<=3 per farm),10300,13089,1448061,2128982,938279056,0.4838,0.1543,140.6,440.7,0.319,0.319
2002,Native Hawaiian or Other Pacific Islander,operator (<=3 per farm),1450,1684,431732,2128982,938279056,0.0681,0.046,297.7,440.7,0.676,0.676
2007,White,operator (<=3 per farm),2128341,3140754,869916383,2204792,922095840,96.5325,94.3412,408.7,418.2,0.977,0.977
2007,American Indian or Alaska Native,operator (<=3 per farm),42751,55889,52636902,2204792,922095840,1.939,5.7084,1231.2,418.2,2.944,2.944
2007,Hispanic (any race),operator (<=3 per farm),66671,82462,24600997,2204792,922095840,3.0239,2.6679,369.0,418.2,0.882,0.882
2007,Multi-race,operator (<=3 per farm),21637,24546,6206131,2204792,922095840,0.9814,0.673,286.8,418.2,0.686,0.686
2007,Black or African American,operator (<=3 per farm),31912,39697,3614608,2204792,922095840,1.4474,0.392,113.3,418.2,0.271,0.271
2007,Asian,operator (<=3 per farm),13707,18289,1997479,2204792,922095840,0.6217,0.2166,145.7,418.2,0.348,0.348
2007,Native Hawaiian or Other Pacific Islander,operator (<=3 per farm),2098,2359,605737,2204792,922095840,0.0952,0.0657,288.7,418.2,0.69,0.69
2012,White,operator (<=3 per farm),2027671,3035413,859748829,2109303,914527657,96.1299,94.0102,424.0,433.6,0.978,0.978
2012,American Indian or Alaska Native,operator (<=3 per farm),44671,58475,53390956,2109303,914527657,2.1178,5.8381,1195.2,433.6,2.757,2.757
2012,Hispanic (any race),operator (<=3 per farm),79807,99734,29872152,2109303,914527657,3.7836,3.2664,374.3,433.6,0.863,0.863
2012,Multi-race,operator (<=3 per farm),14742,16969,4761178,2109303,914527657,0.6989,0.5206,323.0,433.6,0.745,0.745
2012,Black or African American,operator (<=3 per farm),34758,44629,4208972,2109303,914527657,1.6478,0.4602,121.1,433.6,0.279,0.279
2012,Asian,operator (<=3 per farm),16513,22140,2111649,2109303,914527657,0.7829,0.2309,127.9,433.6,0.295,0.295
2012,Native Hawaiian or Other Pacific Islander,operator (<=3 per farm),2131,2448,505406,2109303,914527657,0.101,0.0553,237.2,433.6,0.547,0.547
2017,White,producer (<=4 per farm),1963286,3244344,846687737,2042220,900217576,96.1349,94.0537,431.3,440.8,0.978,0.978
2017,American Indian or Alaska Native,producer (<=4 per farm),42705,58199,52578979,2042220,900217576,2.0911,5.8407,1231.2,440.8,2.793,2.793
2017,Hispanic (any race),producer (<=4 per farm),86278,112451,32079910,2042220,900217576,4.2247,3.5636,371.8,440.8,0.844,0.844
2017,Multi-race,producer (<=4 per farm),22534,26749,7593831,2042220,900217576,1.1034,0.8436,337.0,440.8,0.765,0.765
2017,Black or African American,producer (<=4 per farm),32910,45508,4097857,2042220,900217576,1.6115,0.4552,124.5,440.8,0.282,0.282
2017,Asian,producer (<=4 per farm),15826,22016,2339053,2042220,900217576,0.7749,0.2598,147.8,440.8,0.335,0.335
2017,Native Hawaiian or Other Pacific Islander,producer (<=4 per farm),2537,3018,557353,2042220,900217576,0.1242,0.0619,219.7,440.8,0.498,0.498
2022,White,producer (<=4 per farm),1829449,3219263,823942903,1900487,880100848,96.2621,93.6191,450.4,463.1,0.973,0.973
2022,American Indian or Alaska Native,producer (<=4 per farm),40621,56203,55781477,1900487,880100848,2.1374,6.3381,1373.2,463.1,2.965,2.965
2022,Hispanic (any race),producer (<=4 per farm),83505,112379,36866263,1900487,880100848,4.3939,4.1889,441.5,463.1,0.953,0.953
2022,Multi-race,producer (<=4 per farm),24990,30564,9661430,1900487,880100848,1.3149,1.0978,386.6,463.1,0.835,0.835
2022,Black or African American,producer (<=4 per farm),28723,41807,4318741,1900487,880100848,1.5113,0.4907,150.4,463.1,0.325,0.325
2022,Asian,producer (<=4 per farm),16072,22788,2608401,1900487,880100848,0.8457,0.2964,162.3,463.1,0.35,0.35
2022,Native Hawaiian or Other Pacific Islander,producer (<=4 per farm),2779,3419,799151,1900487,880100848,0.1462,0.0908,287.6,463.1,0.621,0.621
