year,producer_group,cut,category,measure,value
2022,American Indian or Alaska Native,area_operated,1.0 TO 9.9 ACRES,operations,11776
2022,American Indian or Alaska Native,area_operated,10.0 TO 49.9 ACRES,operations,10119
2022,American Indian or Alaska Native,area_operated,180 TO 499 ACRES,operations,4724
2022,American Indian or Alaska Native,area_operated,50 TO 179 ACRES,operations,8082
2022,American Indian or Alaska Native,area_operated,500 OR MORE ACRES,operations,5920
2022,Asian,area_operated,1.0 TO 9.9 ACRES,operations,4835
2022,Asian,area_operated,10.0 TO 49.9 ACRES,operations,5783
2022,Asian,area_operated,180 TO 499 ACRES,operations,1168
2022,Asian,area_operated,50 TO 179 ACRES,operations,3480
2022,Asian,area_operated,500 OR MORE ACRES,operations,806
2022,Black or African American,area_operated,1.0 TO 9.9 ACRES,operations,4444
2022,Black or African American,area_operated,10.0 TO 49.9 ACRES,operations,10932
2022,Black or African American,area_operated,180 TO 499 ACRES,operations,2851
2022,Black or African American,area_operated,50 TO 179 ACRES,operations,8906
2022,Black or African American,area_operated,500 OR MORE ACRES,operations,1590
2022,Hispanic (any race),area_operated,1.0 TO 9.9 ACRES,operations,19522
2022,Hispanic (any race),area_operated,10.0 TO 49.9 ACRES,operations,29293
2022,Hispanic (any race),area_operated,180 TO 499 ACRES,operations,8350
2022,Hispanic (any race),area_operated,50 TO 179 ACRES,operations,17671
2022,Hispanic (any race),area_operated,500 OR MORE ACRES,operations,8669
2022,Multi-race,area_operated,1.0 TO 9.9 ACRES,operations,4450
2022,Multi-race,area_operated,10.0 TO 49.9 ACRES,operations,7733
2022,Multi-race,area_operated,180 TO 499 ACRES,operations,3485
2022,Multi-race,area_operated,50 TO 179 ACRES,operations,6225
2022,Multi-race,area_operated,500 OR MORE ACRES,operations,3097
2022,Native Hawaiian or Other Pacific Islander,area_operated,1.0 TO 9.9 ACRES,operations,866
2022,Native Hawaiian or Other Pacific Islander,area_operated,10.0 TO 49.9 ACRES,operations,952
2022,Native Hawaiian or Other Pacific Islander,area_operated,180 TO 499 ACRES,operations,221
2022,Native Hawaiian or Other Pacific Islander,area_operated,50 TO 179 ACRES,operations,477
2022,Native Hawaiian or Other Pacific Islander,area_operated,500 OR MORE ACRES,operations,263
2022,White,area_operated,1.0 TO 9.9 ACRES,operations,216392
2022,White,area_operated,10.0 TO 49.9 ACRES,operations,545048
2022,White,area_operated,180 TO 499 ACRES,operations,281157
2022,White,area_operated,50 TO 179 ACRES,operations,513494
2022,White,area_operated,500 OR MORE ACRES,operations,273358
2022,__ALL__,area_operated,"1,000 OR MORE ACRES",operations,159619
2022,__ALL__,area_operated,"1,000 TO 1,999 ACRES",operations,76311
2022,__ALL__,area_operated,1.0 TO 9.9 ACRES,operations,234592
2022,__ALL__,area_operated,10.0 TO 49.9 ACRES,operations,566912
2022,__ALL__,area_operated,100 TO 139 ACRES,operations,138398
2022,__ALL__,area_operated,140 TO 179 ACRES,operations,108796
2022,__ALL__,area_operated,180 TO 219 ACRES,operations,69602
2022,__ALL__,area_operated,180 TO 499 ACRES,operations,288379
2022,__ALL__,area_operated,"2,000 OR MORE ACRES",operations,83308
2022,__ALL__,area_operated,"2,000 TO 4,999 ACRES",operations,56274
2022,__ALL__,area_operated,220 TO 259 ACRES,operations,52177
2022,__ALL__,area_operated,260 TO 499 ACRES,operations,166600
2022,__ALL__,area_operated,"5,000 OR MORE ACRES",operations,27034
2022,__ALL__,area_operated,50 TO 179 ACRES,operations,530529
2022,__ALL__,area_operated,50.0 TO 69.9 ACRES,operations,130096
2022,__ALL__,area_operated,500 OR MORE ACRES,operations,280075
2022,__ALL__,area_operated,500 TO 999 ACRES,operations,120456
2022,__ALL__,area_operated,70.0 TO 99.9 ACRES,operations,153239
2022,American Indian or Alaska Native,economic_class,"1,000 TO 2,499 $",operations,5241
2022,American Indian or Alaska Native,economic_class,"10,000 TO 24,999 $",operations,4793
2022,American Indian or Alaska Native,economic_class,"2,500 TO 4,999 $",operations,4290
2022,American Indian or Alaska Native,economic_class,"25,000 TO 49,999 $",operations,2756
2022,American Indian or Alaska Native,economic_class,"5,000 TO 9,999 $",operations,4198
2022,American Indian or Alaska Native,economic_class,"50,000 OR MORE $",operations,5838
2022,American Indian or Alaska Native,economic_class,"LESS THAN 1,000 $",operations,13505
2022,Asian,economic_class,"1,000 TO 2,499 $",operations,1553
2022,Asian,economic_class,"10,000 TO 24,999 $",operations,2000
2022,Asian,economic_class,"2,500 TO 4,999 $",operations,1357
2022,Asian,economic_class,"25,000 TO 49,999 $",operations,1334
2022,Asian,economic_class,"5,000 TO 9,999 $",operations,1634
2022,Asian,economic_class,"50,000 OR MORE $",operations,5675
2022,Asian,economic_class,"LESS THAN 1,000 $",operations,2519
2022,Black or African American,economic_class,"1,000 TO 2,499 $",operations,3723
2022,Black or African American,economic_class,"10,000 TO 24,999 $",operations,4009
2022,Black or African American,economic_class,"2,500 TO 4,999 $",operations,3243
2022,Black or African American,economic_class,"25,000 TO 49,999 $",operations,1826
2022,Black or African American,economic_class,"5,000 TO 9,999 $",operations,3584
2022,Black or African American,economic_class,"50,000 OR MORE $",operations,3281
2022,Black or African American,economic_class,"LESS THAN 1,000 $",operations,9057
2022,Hispanic (any race),economic_class,"1,000 TO 2,499 $",operations,10946
