compound,biota_group,use_2018_Mkg_high,use_2018_Mkg_low,n_studies,n_tests,tier,tier_generous,tier_label,cas_resolution,n_cas_matched
GLYPHOSATE,Earthworms & potworms,119.220249,118.0522965,19.0,51.0,3.0,5.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(27),28
GLYPHOSATE,Springtails & soil mites,119.220249,118.0522965,10.0,37.0,4.0,4.0,"Field, single season (<1 yr)",dtxsid+name_family(27),28
GLYPHOSATE,Mycorrhizal fungi,119.220249,118.0522965,2.0,8.0,1.0,4.0,"Lab, not in soil",dtxsid+name_family(27),28
GLYPHOSATE,Soil bacteria & protozoa,119.220249,118.0522965,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(27),28
ATRAZINE,Earthworms & potworms,32.105991,31.800603300000002,19.0,36.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(11),12
ATRAZINE,Springtails & soil mites,32.105991,31.800603300000002,1.0,1.0,0.0,3.0,No record,dtxsid+name_family(11),12
ATRAZINE,Mycorrhizal fungi,32.105991,31.800603300000002,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(11),12
ATRAZINE,Soil bacteria & protozoa,32.105991,31.800603300000002,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(11),12
METOLACHLOR-S,Earthworms & potworms,29.8589646,28.1689535,5.0,6.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",manual+name_family(5),6
METOLACHLOR-S,Springtails & soil mites,29.8589646,28.1689535,0.0,0.0,0.0,0.0,No record,manual+name_family(5),6
METOLACHLOR-S,Mycorrhizal fungi,29.8589646,28.1689535,0.0,0.0,0.0,0.0,No record,manual+name_family(5),6
METOLACHLOR-S,Soil bacteria & protozoa,29.8589646,28.1689535,0.0,0.0,0.0,0.0,No record,manual+name_family(5),6
METAM,Earthworms & potworms,28.9749336,21.3206511,0.0,0.0,0.0,0.0,No record,dtxsid+manual+name_family(2),4
METAM,Springtails & soil mites,28.9749336,21.3206511,0.0,0.0,0.0,0.0,No record,dtxsid+manual+name_family(2),4
METAM,Mycorrhizal fungi,28.9749336,21.3206511,0.0,0.0,0.0,0.0,No record,dtxsid+manual+name_family(2),4
METAM,Soil bacteria & protozoa,28.9749336,21.3206511,0.0,0.0,0.0,0.0,No record,dtxsid+manual+name_family(2),4
ACETOCHLOR,Earthworms & potworms,24.389790100000003,22.539156300000002,9.0,10.0,3.0,3.0,"Lab, in soil, chronic (>14 d)",dtxsid+name_family(1),2
ACETOCHLOR,Springtails & soil mites,24.389790100000003,22.539156300000002,0.0,0.0,0.0,0.0,No record,dtxsid+name_family(1),2
