year,acres_at_or_below_T,acres_above_T,acres_above_5T,total,pct_above_T,pct_above_5T,measure
1982,280215.8,95505.90000000001,12491.8,375721.7,25.419319671980617,3.3247480781653014,sheet_and_rill
1987,277865.0,84406.1,9983.7,362271.1,23.29915358967359,2.7558643237067493,sheet_and_rill
1992,267292.3,68174.99999999999,6199.9,335467.3,20.322398039987796,1.8481384027593748,sheet_and_rill
1997,266351.7,59923.6,4161.8,326275.3,18.36596273147247,1.275548593473058,sheet_and_rill
2002,256075.0,58075.200000000004,4447.9,314150.2,18.48644374569871,1.415851398471177,sheet_and_rill
2007,251980.7,52900.50000000001,4003.0,304881.2,17.351184658155375,1.3129704291376443,sheet_and_rill
2012,254549.7,54946.99999999999,4275.7,309496.7,17.753662640021684,1.3815009982335837,sheet_and_rill
2017,257916.5,56859.4,4558.7,314775.9,18.063454031900154,1.448236666148838,sheet_and_rill
2022,256662.2,56512.00000000001,4609.6,313174.2,18.044909191114723,1.4718964716761471,sheet_and_rill
1982,295293.0,80428.7,12127.2,375721.7,21.40645589541408,3.227708168040334,wind
1987,282869.1,79402.0,11185.6,362271.1,21.917839982267424,3.087632438800666,wind
1992,272968.9,62498.40000000001,7994.8,335467.3,18.630250996147765,2.383183100111397,wind
1997,273820.8,52454.5,6723.6,326275.3,16.076760943902283,2.0607137592088645,wind
2002,265836.2,48314.00000000001,5243.2,314150.2,15.37926762421288,1.6690105560970516,wind
2007,258564.8,46316.4,4834.1,304881.2,15.191622179393153,1.5855684115648983,wind
2012,265111.9,44384.8,4815.4,309496.7,14.340960662908522,1.5558808866136535,wind
2017,269024.1,45751.8,5054.3,314775.9,14.534721368440213,1.6056820105986511,wind
2022,267526.8,45647.4,5087.0,313174.2,14.5757217548572,1.6243355934173376,wind
