year,naive_all,excl_CA,excl_CA_fixed_compounds
1992,462.2245826,390.77166919999996,338.6724328
1993,417.7739758,339.1113396,293.50552589999995
1994,496.33896119999997,418.4979629,362.4440943
1995,522.7870256,441.06541119999997,378.5890804
1996,556.2129537999999,478.059125,399.8086254
1997,504.6228478,421.3714552,366.0718725
1998,466.8435032,379.22002230000004,322.064161
1999,464.9394116,382.0371424,326.8825227
2000,452.80672680000004,379.4330658,322.3104133
2001,439.40058760000005,379.9633008,320.5336082
2002,432.2100908,365.2713124,312.7477475
2003,429.57353,363.7761382,306.1861907
2004,453.4494707,387.63809410000005,328.9581449
2005,434.23321530000004,364.46266060000005,312.0819319
2006,410.5741051,347.0069787,298.6008599
2007,428.6908845,369.2883915,312.610756
2008,407.7920678,353.51573360000003,297.249849
2009,422.5025645,370.0307258,312.5076573
2010,430.70273260000005,371.69631780000003,310.1537642
2011,450.9801188,384.9256505,323.1672808
2012,479.050063,416.4861345,343.60179880000004
2013,481.2969066,419.0805715,342.9496862
2014,480.6734825,421.1493144,343.65492689999996
2015,485.91879489999997,420.8998633,339.88688010000004
2016,544.577336,481.1201123,357.3459786
2017,506.4986194,506.4986194,359.07274689999997
2018,489.4787078,489.4787078,346.3926229
