year,total_high_Mkg,total_high_Mkg_stable_roster,n_compounds,glyphosate_Mkg,glyphosate_pct
1992,390.7716692,338.6724328,270,6.9083072,1.7678628581603428
1993,339.1113396,293.5055259,270,8.8909423,2.621835739992459
1994,418.49796289999995,362.44409429999996,267,10.3481924,2.472698392195687
1995,441.0654112,378.5890804,273,14.1431654,3.2065913673713164
1996,478.0591250000001,399.8086254,280,13.6532956,2.855984727830474
1997,421.3714552,366.0718724999999,288,18.810344699999998,4.464076640187182
1998,379.2200223,322.064161,270,25.269250399999997,6.663480015306143
1999,382.0371424,326.8825227,281,32.1788918,8.422974687185809
2000,379.4330658,322.31041330000005,294,38.071245399999995,10.033718416113853
2001,379.96330079999996,320.53360820000006,300,45.4150399,11.95248062230751
2002,365.2713124,312.74774749999995,299,49.7044303,13.607537359947349
2003,363.7761382,306.1861907,298,57.986299700000004,15.9401053590051
2004,387.6380941,328.95814490000004,313,63.0180622,16.25693221568236
2005,364.46266060000005,312.08193190000003,319,70.1471894,19.24674239180484
2006,347.0069787,298.6008599,324,71.7812945,20.685835993534155
2007,369.2883915,312.610756,329,80.6844875,21.8486389924878
2008,353.5157336,297.249849,335,95.833985,27.10883162796803
2009,370.0307258,312.5076573,334,98.554264,26.634075801928986
2010,371.69631780000003,310.15376420000007,334,107.5719885,28.940827053842824
2011,384.92565049999996,323.1672808,333,111.2670928,28.906125807794147
2012,416.48613450000005,343.6017988,339,126.3798502,30.344311546342723
2013,419.0805715,342.9496862000001,343,125.1185765,29.85549438671604
2014,421.1493144,343.65492689999996,333,126.6831813,30.080348458000483
2015,420.8998633,339.8868801,342,126.0220598,29.9411025729359
2016,444.7400151,357.3459786000001,343,127.90929270000001,28.76046417168906
2017,466.0884089,359.07274689999997,342,123.75499409999999,26.55182830915493
2018,448.38631680000003,346.3926229,330,119.220249,26.588734877290527
