year,estimate_status,includes_california,low_kg,high_kg,compounds,counties
1992,final,True,362632090.8,462224582.6,290,301806
1993,final,True,343984656.7,417773975.8,294,296142
1994,final,True,398978544.8,496338961.2,298,307830
1995,final,True,417738656.1,522787025.6,310,323230
1996,final,True,424571157.2,556212953.8,304,334467
1997,final,True,421968425.0,504622847.8,324,340426
1998,final,True,399770967.6,466843503.2,324,323239
1999,final,True,396811184.5,464939411.6,338,327794
2000,final,True,386510396.6,452806726.8,343,334102
2001,final,True,367220359.0,439400587.6,348,332702
2002,final,True,364225601.6,432210090.8,346,337607
2003,final,True,365968531.9,429573530.0,351,336615
2004,final,True,378184684.3,453449470.7,358,350874
2005,final,True,369350234.6,434233215.3,359,338288
2006,final,True,351614714.4,410574105.1,361,346582
2007,final,True,364440638.3,428690884.5,365,334841
2008,final,True,348547394.5,407792067.8,383,350694
2009,final,True,351169234.1,422502564.5,386,370402
2010,final,True,374653551.1,430702732.6,385,372993
2011,final,True,387351030.4,450980118.8,383,370198
2012,final,True,416100138.3,479050063.0,389,369394
2013,preliminary,True,425238273.7,481296906.6,388,376107
2014,preliminary,True,419458203.7,480673482.5,388,392433
2015,preliminary,True,425030626.0,485918794.9,403,377011
2016,preliminary,True,484829098.5,544577336.0,407,365547
2017,preliminary,False,421285639.0,506498619.4,346,355551
2018,preliminary,False,430268810.7,489478707.8,333,310553
