compound,use_2018_Mkg,soil_records_any,acute_any_unit,comparable_mg_kg,records_per_Mkg
GLYPHOSATE,119.220249,106,7,0,0.8891107080308145
ATRAZINE,32.105991,88,21,4,2.740921468519691
METAM,28.9749336,0,0,0,0.0
ACETOCHLOR,24.389790100000003,34,18,1,1.394025937107183
"2,4-D",21.5487568,39,0,0,1.8098491881443481
DICAMBA,12.2899791,6,0,0,0.48820262029574973
CHLOROPICRIN,8.6786609,0,0,0,0.0
GLUFOSINATE,8.6320406,0,0,0,0.0
PARAQUAT,6.448555099999999,7,3,0,1.0855144899048783
METOLACHLOR,6.075506900000001,84,0,0,13.826006847264052
PENDIMETHALIN,5.0759611,6,0,0,1.182042155524005
CHLOROTHALONIL,3.9943849,37,9,0,9.263003172278164
CHLORPYRIFOS,3.2755482999999996,386,73,13,117.84286618518189
TRIFLURALIN,3.0577351,2,2,0,0.6540788965008774
METRIBUZIN,2.7462115,0,0,0,0.0
ACEPHATE,2.0407398,19,2,0,9.310349119471283
SIMAZINE,1.7005978,0,0,0,0.0
DIURON,1.2403278,24,4,0,19.3497235166381
IMIDACLOPRID,0.32430640000000005,501,132,21,1544.835377901885
CARBARYL,0.31953859999999995,284,176,44,888.7815118423879
ALACHLOR,0.2107614,0,0,0,0.0
