analyte,pnsp_compound,use_2018_Mkg,wqp_samples,wqp_sites,numeric_values,positive_values,sites_per_Mkg,use_1992_Mkg,use_2000_Mkg,peak_use_Mkg,needs_dedicated_method
Glyphosate,GLYPHOSATE,119.220249,59538,7305,34452,23947,61.27314832231227,6.9083072,38.071245399999995,127.90929270000001,True
Atrazine,ATRAZINE,32.105991,304030,41917,177617,150654,1305.5818772265898,38.308886,36.6560416,38.308886,False
Acetochlor,ACETOCHLOR,24.389790100000003,238070,31359,94159,56098,1285.7429224042398,0.0,16.0737472,24.8866811,False
24D,"2,4-D",21.5487568,109445,23830,41215,37948,1105.8642603456362,15.025454,13.6006447,21.5487568,False
Dicamba,DICAMBA,12.2899791,80927,17850,8953,5720,1452.4027953798554,3.9173234,3.1796599,12.2899791,False
Glufosinate,GLUFOSINATE,8.6320406,15312,2353,267,267,272.58907934237476,0.0,0.3914408,8.6320406,True
Paraquat,PARAQUAT,6.448555099999999,142,41,102,17,6.35801344087143,2.2343838,2.8734105,6.6794633,True
Metolachlor,METOLACHLOR,6.075506900000001,279116,37515,145429,113629,6174.793415179892,29.4216087,11.3861995,32.6854697,False
Pendimethalin,PENDIMETHALIN,5.0759611,144160,28365,14650,10349,5588.104290239734,10.757290300000001,8.514769900000001,13.2522492,False
Chlorothalonil,CHLOROTHALONIL,3.9943849,60399,10956,5757,4643,2742.850344742691,4.0163339,4.1097384,6.218292,False
Chlorpyrifos,CHLORPYRIFOS,3.2755483,170596,31832,16653,13799,9718.06765908474,6.179560400000001,5.5675314,6.8297612999999995,False
Trifluralin,TRIFLURALIN,3.0577351,146543,27201,19217,8949,8895.800031860183,11.9104865,8.7108364,13.3148785,False
Metribuzin,METRIBUZIN,2.7462115,194160,32000,42430,20149,11652.416428960407,1.9235016,1.0268412,2.884152,False
Acephate,ACEPHATE,2.0407398,31309,4675,4308,4197,2290.8359017646444,0.8418479,0.917894,3.1423148,False
Simazine,SIMAZINE,1.7005978,240621,32509,103161,54892,19116.21901427839,2.4769512000000002,3.501961,4.1549294,False
Diuron,DIURON,1.2403278,93387,19806,35145,33976,15968.359332105594,2.3528488,2.3741781,4.1513282,False
Imidacloprid,IMIDACLOPRID,0.3243064,87751,18396,29230,29113,56724.13495385845,0.0,0.104448,0.9080468,False
Alachlor,ALACHLOR,0.2107614,239129,32893,71458,15582,156067.4772515271,25.9340121,5.2872953,25.9340121,False
